index,pred_class,true_bbox,cam_bboxes,efficientnet_adv_iou
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[84, 67, 85, 83]",0.7774723385208356
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[63, 33, 93, 99]",0.557006799831938
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[68, 34, 115, 102]",0.424772393171013
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[73, 40, 125, 94]",0.3652278690679434
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[49, 74, 140, 93]",0.43168912643380947
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[73, 57, 102, 92]",0.6210637624789516
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[81, 63, 143, 88]",0.33181869059099045
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[64, 66, 91, 108]",0.6306932300826427
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[68, 47, 93, 85]",0.4169997734287116
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[118, 87, 79, 80]",0.7086859368581754
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[66, 37, 107, 119]",0.5183049236344609
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[57, 58, 110, 104]",0.3028954518451216
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[66, 0, 95, 111]",0.41067590498616136
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[21, 44, 127, 105]",0.4578610124051964
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[77, 60, 93, 90]",0.45111856604417544
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[85, 20, 100, 87]",0.35759294746606773
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[33, 89, 117, 83]",0.6479242051474331
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[33, 69, 98, 84]",0.5906777953200777
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[41, 36, 94, 86]",0.21674375488434205
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[49, 65, 89, 88]",0.4772185775656706
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[112, 72, 94, 92]",0.5502580564987735
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[46, 74, 122, 99]",0.4688675018231656
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[35, 67, 113, 93]",0.4333125414815247
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[57, 55, 100, 104]",0.6289381409075318
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[70, 39, 96, 103]",0.37550748195619704
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[70, 97, 97, 90]",0.353513420402978
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[64, 52, 102, 107]",0.4240640976702303
english_cocker_spaniel_99,12,"[87.36, 53.032, 58.688, 74.816]","[63, 33, 93, 91]",0.4793475417759469
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[55, 56, 128, 109]",0.40461041466316455
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[60, 69, 121, 113]",0.44677828253008167
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[42, 61, 140, 102]",0.4986372615176369
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[30, 51, 141, 109]",0.5409568992186748
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[70, 58, 97, 95]",0.38309679665246044
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[41, 68, 145, 91]",0.5058132469785631
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[48, 60, 119, 97]",0.41396786729699436
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[63, 35, 97, 99]",0.5482721070273302
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[0, 38, 104, 91]",0.29764870543279254
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[105, 61, 91, 89]",0.5379376367096955
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[32, 33, 93, 103]",0.44837164549934766
english_setter_99,21,"[43.456, 38.792, 160.832, 146.94400000000002]","[99, 51, 69, 125]",0.3649511894637432
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[59, 62, 104, 88]",0.6364291170661356
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[25, 43, 102, 103]",0.3330578691503983
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[56, 87, 90, 81]",0.39039899028190567
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[63, 100, 107, 102]",0.5955592882679129
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[42, 60, 125, 96]",0.37320878889619813
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[36, 50, 97, 96]",0.40042706936746464
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[62, 24, 115, 89]",0.3515233739201202
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[69, 26, 87, 114]",0.49151695523221023
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[65, 61, 96, 101]",0.6983810113310817
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[57, 128, 135, 96]",0.5439075478574179
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[75, 70, 84, 86]",0.36840186046511625
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[100, 68, 107, 85]",0.4087518438361333
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[76, 32, 86, 104]",0.5324481176337
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[71, 47, 92, 88]",0.5246413572097545
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[48, 18, 110, 112]",0.14704842631179968
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[65, 0, 93, 155]",0.6461466870124293
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[101, 42, 123, 80]",0.30374662991397733
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[95, 38, 98, 94]",0.5783873594538337
Bombay_90,30,"[16.128, 44.128, 207.872, 150.976]","[48, 75, 87, 87]",0.24117628203915098
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[69, 51, 89, 115]",0.4625022297713753
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[118, 63, 106, 93]",0.6075484343266365
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[99, 40, 98, 90]",0.28048287880526557
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[51, 58, 128, 106]",0.4147059162290294
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[97, 67, 104, 82]",0.39513678943936914
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[54, 49, 103, 116]",0.3629684336694253
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[36, 60, 93, 90]",0.6537023852317275
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[58, 45, 104, 102]",0.40233201197872137
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[57, 72, 115, 89]",0.3746803610076988
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[88, 53, 116, 104]",0.5009452318305437
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[119, 55, 105, 91]",0.29563693049477874
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[73, 66, 97, 100]",0.6173712432599182
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[55, 40, 96, 92]",0.3365078004346059
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[56, 39, 106, 100]",0.3306978140180652
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[38, 63, 105, 104]",0.43659675333811965
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[39, 70, 114, 81]",0.573995703996847
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[53, 74, 112, 93]",0.5176583620461171
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[82, 70, 88, 109]",0.5829544651165338
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[0, 60, 136, 123]",0.6349057688343404
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[30, 53, 129, 109]",0.6469527635857817
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[47, 58, 121, 117]",0.4278426769501366
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[51, 51, 104, 93]",0.39729271267479604
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[88, 37, 116, 97]",0.4339281760401236
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[30, 48, 120, 107]",0.5330700986023847
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[85, 57, 100, 87]",0.3374900283744656
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[62, 37, 99, 90]",0.4491663133693817
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[73, 66, 86, 88]",0.8468423428169973
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[92, 59, 132, 96]",0.39735332097556914
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[59, 48, 99, 137]",0.47642011240465676
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[34, 55, 155, 125]",0.5314322305392971
havanese_21,16,"[64.06400000000001, 43.232, 159.04, 152.32]","[62, 61, 110, 77]",0.3408425939790569
British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[67, 40, 99, 104]",0.40630507987645986
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[50, 49, 122, 94]",0.5432932410985122
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[99, 85, 125, 99]",0.5448778888167477
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[66, 44, 128, 90]",0.39909186742643366
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 60, 105, 87]",0.27031635140000543
staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[67, 68, 95, 91]",0.7274699839415292
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[50, 68, 99, 88]",0.5939762182508845
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[68, 74, 99, 105]",0.5057929250494912
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[47, 55, 126, 104]",0.4562556154537286
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[32, 66, 101, 87]",0.488967818937725
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[64, 41, 95, 93]",0.6110657616480344
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[47, 42, 130, 117]",0.3574175493311978
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[61, 25, 97, 100]",0.31934636465264055
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[80, 31, 97, 100]",0.3277828645094714
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[96, 56, 91, 97]",0.7014198591374817
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[34, 36, 151, 92]",0.4628681749601231
Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[31, 67, 105, 94]",0.4535258991817952
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 43, 127, 103]",0.2724981043192362
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[71, 34, 101, 101]",0.3365788048024757
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[59, 49, 103, 97]",0.39122476630043324
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[68, 39, 92, 97]",0.4184405093206113
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[33, 61, 99, 98]",0.38574823110475676
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[61, 83, 106, 74]",0.3491538021337403
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[72, 37, 97, 96]",0.42736711684784445
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[47, 21, 102, 124]",0.46184756112517705
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[116, 61, 108, 96]",0.5521276080599615
Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[66, 63, 111, 84]",0.4054580421131823
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[84, 54, 80, 78]",0.48013144875260466
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[36, 80, 149, 120]",0.446819491792729
leonberger_47,12,"[51.52, 90.75999999999999, 93.632, 59.136]","[75, 83, 86, 74]",0.5351179059186341
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[37, 62, 145, 102]",0.5086671433431521
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[113, 85, 90, 82]",0.6891225785298244
leonberger_70,22,"[80.64, 75.00800000000001, 72.128, 93.184]","[71, 60, 87, 80]",0.5212406871776384
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[65, 41, 96, 109]",0.6908573144547291
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[71, 44, 153, 105]",0.5898216378426809
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[66, 50, 91, 100]",0.5102142755228358
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[63, 40, 93, 98]",0.679455126382674
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[49, 66, 123, 77]",0.6073815595066182
Siamese_6,32,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[46, 66, 115, 102]",0.4963194052597528
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[95, 58, 106, 100]",0.5320568825329939
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[30, 55, 102, 87]",0.5891131444401956
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[43, 49, 142, 120]",0.46834777501507996
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[65, 63, 109, 95]",0.5292270640647527
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[63, 90, 88, 85]",0.6841588830703922
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[54, 54, 137, 104]",0.38178915874848945
basset_hound_193,14,"[7.168, 38.0, 155.904, 94.976]","[50, 56, 80, 78]",0.4135976818860068
beagle_30,4,"[80.904, 11.648, 69.44, 186.816]","[63, 35, 101, 99]",0.42707239398916325
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[0, 46, 156, 87]",0.4114760293493082
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[38, 0, 96, 113]",0.23239646095547833
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[46, 55, 118, 94]",0.3552906818465091
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[46, 60, 114, 121]",0.4185166880008717
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[73, 47, 105, 96]",0.41232294342398945
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[63, 43, 125, 98]",0.43771626685312687
Ragdoll_93,26,"[28.448, 109.76, 132.608, 114.24000000000001]","[33, 90, 77, 74]",0.2505288045644211
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[82, 0, 88, 131]",0.48631234938189355
Persian_27,23,"[10.896, 12.544, 198.912, 211.45600000000002]","[54, 38, 138, 149]",0.48885983637184827
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[43, 74, 125, 100]",0.36852527623475423
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[33, 92, 93, 79]",0.3913700609208401
Siamese_9,10,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[51, 62, 116, 95]",0.44367910805202937
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[124, 39, 100, 96]",0.4369282281903641
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[62, 50, 106, 93]",0.2509919045265634
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[77, 87, 88, 101]",0.47070705673851165
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[81, 61, 108, 100]",0.3027318522345647
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[64, 41, 133, 103]",0.5099015090679442
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[101, 33, 92, 86]",0.41580315652422434
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[85, 82, 106, 91]",0.3454506802721088
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[57, 26, 100, 153]",0.6249880263731836
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[50, 41, 111, 102]",0.4610251763684865
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[54, 60, 128, 92]",0.38089006463906805
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[46, 64, 115, 91]",0.4096491511203112
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[64, 38, 101, 97]",0.4766828978154475
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[79, 0, 89, 128]",0.3827595259225464
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[0, 52, 121, 106]",0.3303057771411771
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[94, 34, 101, 91]",0.20494900556557208
pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[87, 104, 82, 66]",0.5803045687189181
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[62, 0, 85, 112]",0.30508776414005306
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[66, 72, 104, 88]",0.3392937751310109
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[39, 16, 85, 155]",0.6715535266156542
yorkshire_terrier_6,36,"[60.928000000000004, 72.84, 97.664, 67.2]","[77, 60, 94, 78]",0.6197520949990283
chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[65, 29, 99, 98]",0.35228500451835765
Persian_60,23,"[70.784, 69.70400000000001, 111.104, 116.032]","[67, 63, 102, 105]",0.6921902433899173
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[69, 51, 91, 106]",0.4154480184456567
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[61, 34, 94, 89]",0.41756398369223147
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[49, 35, 139, 130]",0.48684426462655656
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[73, 90, 108, 95]",0.4182513477468778
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 38, 131, 83]",0.4438428725026776
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[46, 67, 112, 100]",0.3890811260916683
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[56, 69, 98, 120]",0.4532675158138856
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[68, 41, 98, 94]",0.4205152851154418
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[84, 42, 100, 92]",0.2907961064551911
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[60, 81, 125, 84]",0.4191773489598714
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[71, 55, 118, 106]",0.5394838197833345
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[41, 55, 129, 104]",0.5642593158642195
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[28, 76, 103, 79]",0.69142320648073
american_bulldog_81,1,"[51.072, 36.96, 172.928, 158.144]","[59, 34, 126, 105]",0.4638100562407924
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[73, 61, 101, 86]",0.44468693117662894
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[88, 35, 97, 96]",0.3078678944130703
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[74, 69, 110, 107]",0.6036270443979221
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[60, 77, 112, 91]",0.4580995381229026
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[88, 63, 92, 116]",0.5912472012526284
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[28, 67, 126, 92]",0.585008269473416
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[46, 40, 107, 93]",0.4636964356039913
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[89, 35, 102, 100]",0.32733975001385446
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[68, 33, 94, 102]",0.5254470300135411
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[71, 56, 114, 100]",0.539084163238964
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[48, 88, 93, 78]",0.40458958995487576
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[17, 65, 144, 105]",0.6472730988467148
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[95, 43, 73, 100]",0.6455347108532242
american_pit_bull_terrier_30,14,"[53.088, 48.384, 94.976, 143.808]","[80, 34, 82, 116]",0.4255215124885922
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[30, 54, 104, 107]",0.3762083498464728
staffordshire_bull_terrier_27,2,"[21.928, 18.368000000000002, 174.272, 203.84]","[55, 24, 140, 140]",0.5517458120285883
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[64, 37, 97, 92]",0.43326580888731603
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[54, 46, 110, 112]",0.41028746739184396
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[88, 69, 91, 94]",0.29310210906107853
wheaten_terrier_34,35,"[45.248, 47.304, 86.016, 133.952]","[77, 46, 78, 70]",0.281246162602528
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[57, 44, 167, 114]",0.5516397300721828
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[66, 0, 96, 130]",0.5052063492063492
chihuahua_192,10,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[44, 45, 108, 91]",0.3505338678521718
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[83, 56, 75, 105]",0.6784198102863506
miniature_pinscher_21,21,"[64.64, 25.984, 102.144, 162.624]","[46, 26, 108, 127]",0.5979825684550956
