index,pred_class,true_bbox,cam_bboxes,densenet_adv_iou
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[112, 76, 77, 78]",0.38139133969707006
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[69, 74, 79, 83]",0.25454249126134265
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[57, 79, 73, 68]",0.2080776353733713
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[58, 54, 76, 82]",0.37241835669988277
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[85, 39, 70, 84]",0.2232993521341463
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[85, 102, 72, 71]",0.2626052947676008
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[77, 63, 76, 68]",0.20080293721456388
english_cocker_spaniel_99,12,"[87.36, 53.032, 58.688, 74.816]","[71, 39, 82, 76]",0.5205791282500001
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[47, 63, 118, 81]",0.2771836541965687
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[89, 73, 73, 83]",0.19798358910625063
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[63, 72, 97, 80]",0.27096814771546657
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[28, 60, 75, 79]",0.2085477017288469
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[95, 56, 65, 69]",0.18645568453459413
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[60, 75, 92, 70]",0.24686906483834375
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[76, 67, 74, 72]",0.19107864480277104
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[70, 41, 69, 70]",0.39928972038799626
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[23, 51, 67, 62]",0.16177790231845637
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[106, 67, 76, 79]",0.5903192906183614
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[44, 49, 67, 70]",0.3219331269226507
english_setter_99,12,"[43.456, 38.792, 160.832, 146.94400000000002]","[112, 72, 65, 73]",0.20077604568179264
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[74, 70, 74, 68]",0.35452131573783363
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[36, 48, 74, 76]",0.19255493798904896
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[65, 76, 71, 72]",0.3078805771655921
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[85, 122, 70, 66]",0.25350175338405484
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[54, 61, 79, 73]",0.17935792379703122
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[39, 49, 76, 73]",0.23857059502262606
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[55, 22, 69, 69]",0.16351761438531434
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[74, 31, 76, 82]",0.4067878970494169
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[85, 57, 70, 70]",0.3714408243062317
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[34, 123, 90, 76]",0.2870623169247483
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[71, 70, 85, 76]",0.3408364654138345
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[130, 66, 67, 66]",0.26432014733825004
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[82, 34, 76, 71]",0.344948237467178
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[77, 56, 71, 68]",0.31783897858334714
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[66, 38, 77, 67]",0.054081633320040456
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[65, 33, 77, 81]",0.4132835120662532
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[123, 50, 68, 65]",0.14842046965774763
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[103, 48, 74, 74]",0.4512817176741593
Bombay_90,30,"[16.128, 44.128, 207.872, 150.976]","[48, 70, 70, 69]",0.1539016306314043
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[78, 57, 69, 87]",0.2712653527423122
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[123, 68, 72, 73]",0.3529410256353347
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[111, 42, 77, 80]",0.22569992500905317
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[90, 85, 71, 67]",0.14539770367788127
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[119, 73, 67, 66]",0.26668738722500407
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[71, 79, 67, 66]",0.13433599043239025
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[45, 59, 77, 67]",0.4687350762114394
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[69, 59, 81, 71]",0.2181194759511337
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[85, 82, 73, 68]",0.18172089028258104
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[100, 73, 78, 74]",0.23967638247064807
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[127, 64, 69, 71]",0.15767935839501626
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[82, 73, 76, 79]",0.3821337056219123
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[62, 55, 67, 60]",0.17648688142981223
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[73, 55, 74, 67]",0.15467922282090257
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[57, 67, 65, 64]",0.16710908239199673
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[53, 72, 78, 75]",0.3636425025321155
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[69, 88, 69, 68]",0.23318481516132697
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[79, 68, 74, 90]",0.4047619618094365
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[42, 74, 74, 82]",0.2303089553614764
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[46, 65, 85, 82]",0.37149933986752587
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[64, 74, 71, 72]",0.15449118913393364
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[77, 67, 75, 70]",0.2324735523208572
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[110, 46, 74, 79]",0.30577133185337246
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[77, 48, 69, 70]",0.20052403241818675
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[93, 66, 73, 81]",0.2622978653600863
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[69, 37, 81, 76]",0.4240292175943081
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[75, 67, 75, 72]",0.6447984004355627
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[132, 60, 68, 66]",0.16684042338396543
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[73, 21, 87, 130]",0.39728020875150544
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[61, 68, 124, 90]",0.30610496479063515
havanese_21,15,"[64.06400000000001, 43.232, 159.04, 152.32]","[73, 64, 83, 72]",0.24668758348409792
British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[81, 45, 73, 76]",0.2736769260210214
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[67, 66, 92, 71]",0.3122403873188695
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[129, 75, 73, 90]",0.3306160528287774
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[91, 49, 73, 73]",0.18555571649137392
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 66, 82, 66]",0.15860725991413172
staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[73, 68, 72, 74]",0.4945665456372034
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[54, 61, 70, 68]",0.3283768154475437
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[77, 66, 72, 72]",0.25223958859610995
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[71, 67, 77, 72]",0.19303122192273134
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[48, 73, 75, 77]",0.4351583440837742
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[71, 49, 70, 69]",0.3878000717172128
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[80, 67, 69, 65]",0.10539235428996858
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[69, 31, 64, 80]",0.16856220484757933
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[93, 40, 69, 80]",0.22650910687939746
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[98, 63, 83, 83]",0.6670492194538052
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[49, 67, 103, 72]",0.2484530407779034
Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[32, 54, 80, 95]",0.349219537363895
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[22, 52, 75, 72]",0.11414671274350865
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[90, 41, 71, 81]",0.18975244646789902
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[71, 58, 67, 68]",0.20199768338344964
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[77, 54, 71, 73]",0.24302747196422325
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[59, 60, 73, 75]",0.23674530698588828
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[86, 75, 92, 66]",0.27027815993830584
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[76, 43, 78, 94]",0.3364965314356095
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[47, 24, 65, 66]",0.15665133121655675
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[134, 64, 73, 69]",0.26823560588329726
Bombay_8,14,"[19.264, 74.024, 138.43200000000002, 51.968]","[75, 71, 80, 79]",0.4443326195191818
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[89, 44, 73, 77]",0.3830026352675243
Egyptian_Mau_40,5,"[0.0, 37.0, 223.552, 149.184]","[39, 69, 75, 74]",0.16641488759832593
leonberger_47,35,"[51.52, 90.75999999999999, 93.632, 59.136]","[67, 71, 87, 82]",0.5741523787397652
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[50, 71, 108, 77]",0.28600919297103805
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[116, 89, 77, 75]",0.7046984111903788
leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[81, 77, 66, 64]",0.6284614897081622
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[71, 51, 77, 79]",0.4315948213166845
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[91, 61, 74, 68]",0.1863737879410335
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[76, 54, 72, 63]",0.30033737461936366
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[71, 53, 74, 72]",0.5259599740842873
Bombay_40,30,"[22.848, 66.08, 201.15200000000002, 76.16]","[32, 69, 78, 69]",0.35131152962298506
Siamese_6,32,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[67, 79, 76, 78]",0.25082535672462186
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[117, 59, 70, 72]",0.252977989430782
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[40, 61, 79, 70]",0.3888208711578277
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[63, 56, 100, 93]",0.25561234199766686
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[86, 69, 70, 67]",0.24298373230440146
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[69, 93, 70, 72]",0.47894985808893087
Persian_255,24,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[107, 70, 67, 85]",0.1526031203728697
basset_hound_193,14,"[7.168, 38.0, 155.904, 94.976]","[57, 72, 73, 72]",0.28511909277632597
beagle_30,4,"[80.904, 11.648, 69.44, 186.816]","[78, 49, 71, 69]",0.35668922380084345
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[41, 57, 84, 69]",0.17572318494758254
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[43, 0, 76, 83]",0.13003557367182078
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[74, 63, 76, 69]",0.1679719018755043
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[58, 82, 76, 73]",0.17198126720770956
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[97, 51, 64, 66]",0.20566602275427937
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[94, 46, 71, 70]",0.17758774255184004
Ragdoll_93,15,"[28.448, 109.76, 132.608, 114.24000000000001]","[94, 138, 59, 86]",0.334936550633767
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[75, 18, 78, 82]",0.421282704027454
Persian_27,23,"[10.896, 12.544, 198.912, 211.45600000000002]","[90, 77, 72, 71]",0.12153737396813968
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[69, 87, 80, 71]",0.16745788552107232
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[31, 90, 93, 85]",0.4210943693452077
Siamese_9,33,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[74, 61, 85, 66]",0.23075284090909093
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[135, 41, 72, 78]",0.3387021040738477
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[84, 58, 71, 74]",0.13377069044254047
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[80, 89, 79, 76]",0.3179708785618839
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[101, 66, 77, 81]",0.17482764466546113
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[72, 57, 79, 75]",0.22053919565132998
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[110, 53, 74, 68]",0.4731001677776146
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[98, 76, 80, 81]",0.23206722041916494
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[62, 37, 65, 81]",0.2150694090754779
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[64, 53, 73, 75]",0.23671859974530085
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[79, 67, 79, 65]",0.1660895450001371
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[67, 68, 76, 69]",0.22964043432592146
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[75, 47, 75, 68]",0.26541487635069066
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[87, 32, 70, 72]",0.19264754233108664
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[30, 63, 75, 79]",0.2255722062630755
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[106, 46, 75, 69]",0.11539670371035095
pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[91, 95, 68, 69]",0.4360529224180475
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[69, 40, 76, 78]",0.2517411436691069
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[84, 87, 74, 71]",0.3635115147430536
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[37, 38, 77, 85]",0.34443849744479166
yorkshire_terrier_6,13,"[60.928000000000004, 72.84, 97.664, 67.2]","[104, 62, 75, 64]",0.3430021939200187
chihuahua_77,31,"[43.72, 17.024, 140.672, 195.776]","[80, 33, 70, 71]",0.18046345830305477
Persian_60,23,"[70.784, 69.70400000000001, 111.104, 116.032]","[84, 77, 63, 62]",0.30298753792057365
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[92, 36, 65, 70]",0.20340764342159323
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[67, 43, 69, 72]",0.291334493497234
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[77, 42, 102, 66]",0.18137441004238952
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[90, 86, 66, 93]",0.25021703435383397
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 35, 96, 73]",0.25413818546727157
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[60, 70, 74, 78]",0.2005157374822419
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[67, 111, 74, 74]",0.21206908701641336
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[85, 58, 66, 66]",0.288381654482149
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[92, 59, 74, 62]",0.14578784718606827
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[73, 78, 83, 75]",0.24851228545478093
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[101, 79, 64, 59]",0.16286303993459153
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[75, 70, 78, 70]",0.24951609743761755
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[43, 75, 76, 71]",0.4585129190328154
american_bulldog_81,1,"[51.072, 36.96, 172.928, 158.144]","[80, 71, 89, 64]",0.20828209749751445
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[79, 63, 74, 67]",0.27084608252020714
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[98, 56, 64, 56]",0.1406251406251406
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[80, 83, 75, 69]",0.26540101569747215
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[71, 75, 97, 82]",0.35750821489693557
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[103, 63, 74, 70]",0.28698093164248645
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[43, 76, 79, 73]",0.29104060473198673
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[66, 44, 79, 76]",0.28774095124371935
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[107, 39, 67, 65]",0.1815507094137261
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[73, 44, 82, 79]",0.36034416404134084
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[89, 58, 73, 73]",0.2519982022719684
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[64, 99, 71, 72]",0.375652174501941
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[49, 63, 106, 96]",0.4356250697000112
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[93, 45, 70, 77]",0.4900231846177096
american_pit_bull_terrier_30,35,"[53.088, 48.384, 94.976, 143.808]","[79, 39, 69, 66]",0.2730712537353845
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[61, 88, 89, 70]",0.21061987954201344
staffordshire_bull_terrier_27,8,"[21.928, 18.368000000000002, 174.272, 203.84]","[78, 42, 87, 73]",0.17878253327518187
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[76, 35, 75, 70]",0.2629729979606198
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[75, 66, 63, 67]",0.14057008115754654
Sphynx_47,12,"[29.344, 47.936, 165.76, 176.064]","[93, 80, 54, 85]",0.15727597388243517
wheaten_terrier_34,29,"[45.248, 47.304, 86.016, 133.952]","[62, 49, 67, 71]",0.41286180448611304
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[47, 133, 50, 20]",0.028975718566665764
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[73, 0, 67, 89]",0.23981473371870204
chihuahua_192,10,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[56, 45, 81, 81]",0.2340102469452685
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[88, 61, 71, 83]",0.5021287947984006
miniature_pinscher_21,10,"[64.64, 25.984, 102.144, 162.624]","[62, 38, 73, 80]",0.3346041519128872
