index,pred_class,true_bbox,cam_bboxes,densenet_iou
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[118, 47, 73, 68]",0.16668760438485505
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[96, 52, 73, 73]",0.3741885984138258
Bombay_90,7,"[16.128, 44.128, 207.872, 150.976]","[59, 65, 82, 73]",0.19073605816968658
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[79, 49, 70, 87]",0.2751967346661139
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[133, 78, 70, 70]",0.330276819534632
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[110, 48, 76, 75]",0.23903122430347148
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[77, 83, 87, 70]",0.18614084830739897
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[117, 70, 67, 64]",0.24140293168826402
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[72, 85, 66, 65]",0.13032596086724427
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[41, 61, 81, 77]",0.568614369956218
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[72, 64, 81, 71]",0.2181194759511337
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[78, 78, 78, 67]",0.19131212180031598
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[101, 65, 85, 71]",0.2505971878396329
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[128, 54, 74, 69]",0.16434186649621413
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[82, 75, 77, 74]",0.3626578705252592
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[66, 48, 68, 75]",0.21990979114016967
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[70, 58, 64, 58]",0.11580663072028849
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[54, 68, 69, 72]",0.19956680801044224
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[58, 74, 77, 71]",0.33983479681078216
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[67, 89, 79, 69]",0.27090588820212985
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[86, 71, 72, 87]",0.38069503435049706
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[43, 70, 79, 78]",0.23387669461724087
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[51, 64, 81, 80]",0.34538245657698247
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[65, 74, 75, 79]",0.17906109069220594
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[76, 69, 77, 68]",0.23185362284800157
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[94, 49, 82, 76]",0.32596081767194957
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[74, 51, 73, 91]",0.2757931982099409
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[101, 66, 71, 70]",0.22046683423636548
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[77, 45, 76, 74]",0.4737754300566524
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[76, 74, 73, 69]",0.6578231064592392
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[119, 66, 81, 74]",0.22282564566922658
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[78, 35, 76, 82]",0.21890806904857488
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[47, 53, 122, 94]",0.31455302295869214
havanese_21,15,"[64.06400000000001, 43.232, 159.04, 152.32]","[85, 63, 76, 71]",0.22274534813925573
British_Shorthair_21,9,"[85.624, 27.776, 98.11200000000001, 189.952]","[80, 43, 75, 77]",0.28012893730747745
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[71, 68, 86, 64]",0.2631002896207988
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[110, 103, 73, 78]",0.28653391245160703
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[95, 54, 75, 66]",0.17235894100812552
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 68, 72, 64]",0.1339980313085447
staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[81, 74, 72, 76]",0.5812017476791953
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[56, 66, 74, 74]",0.412795097473099
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[74, 67, 75, 74]",0.27004817066134457
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[61, 64, 78, 73]",0.19825392814358445
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[53, 86, 70, 67]",0.4060212450622894
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[70, 48, 67, 66]",0.345976559388627
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[84, 67, 67, 63]",0.09918865718126141
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[72, 26, 67, 78]",0.17205196924481436
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[70, 56, 87, 83]",0.29630838057538567
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[107, 68, 65, 69]",0.532691856418996
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[53, 58, 100, 73]",0.24456677422851872
Egyptian_Mau_77,5,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[28, 38, 70, 99]",0.3184330781489201
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[27, 54, 80, 73]",0.12344755600409084
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[81, 40, 78, 70]",0.1801509924734357
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[71, 60, 78, 72]",0.24899451050953758
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[84, 49, 61, 64]",0.1830560004916704
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[55, 74, 82, 70]",0.24820421225552486
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[75, 88, 95, 61]",0.2579482768185906
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[88, 52, 66, 75]",0.22717646353058743
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[46, 25, 76, 76]",0.21091330748410997
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[134, 70, 69, 67]",0.24618884375590297
Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[75, 71, 82, 69]",0.4960476732627011
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[88, 50, 74, 74]",0.4213222409816183
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[31, 69, 76, 71]",0.16179724927577777
leonberger_47,12,"[51.52, 90.75999999999999, 93.632, 59.136]","[84, 82, 68, 62]",0.5010908770542772
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[60, 65, 111, 76]",0.2901363097527269
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[121, 93, 72, 70]",0.7302048599800157
leonberger_70,22,"[80.64, 75.00800000000001, 72.128, 93.184]","[87, 67, 65, 67]",0.5295003045165297
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[73, 45, 74, 77]",0.40427869338524874
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[86, 59, 82, 72]",0.2186706764713557
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[85, 58, 59, 61]",0.25097805093443154
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[76, 53, 73, 74]",0.4862441044113449
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[33, 68, 74, 71]",0.34295629443314074
Siamese_6,10,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[70, 83, 80, 73]",0.24710190338592977
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[122, 56, 75, 71]",0.26728329240454646
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[43, 64, 71, 67]",0.3344703226216612
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[70, 55, 98, 75]",0.20201620577234963
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[86, 76, 71, 63]",0.23174120140673513
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[67, 101, 70, 70]",0.46564569536423833
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[86, 88, 83, 72]",0.1601327914571149
basset_hound_193,14,"[7.168, 38.0, 155.904, 94.976]","[42, 64, 73, 68]",0.3352437113833822
beagle_30,21,"[80.904, 11.648, 69.44, 186.816]","[78, 41, 72, 72]",0.37741362062466177
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[26, 53, 105, 74]",0.2355709363427737
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[47, 21, 73, 74]",0.13331380967644568
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[71, 65, 81, 71]",0.18421174822387973
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[54, 76, 81, 81]",0.20338303787847556
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[94, 56, 69, 66]",0.22173368078195746
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[88, 54, 89, 79]",0.25123127120361916
Ragdoll_93,29,"[28.448, 109.76, 132.608, 114.24000000000001]","[45, 105, 68, 71]",0.2911118080293418
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[88, 19, 69, 73]",0.31393844219188066
Persian_27,26,"[10.896, 12.544, 198.912, 211.45600000000002]","[38, 51, 138, 72]",0.23622757193807434
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[71, 87, 82, 74]",0.1788969100953991
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[46, 74, 89, 81]",0.3840188878696524
Siamese_9,33,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[68, 58, 82, 74]",0.24959148638794362
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[140, 49, 61, 66]",0.25796541851694377
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[73, 51, 81, 80]",0.16498554892799056
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[83, 82, 81, 83]",0.3560490034263067
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[78, 74, 93, 74]",0.19290746361835875
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[70, 51, 80, 75]",0.2233308310393215
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[115, 50, 67, 68]",0.4757649416726571
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[93, 77, 90, 84]",0.2707450904890258
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[64, 33, 68, 79]",0.2194402403710289
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[69, 55, 72, 71]",0.22102383231013295
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[76, 67, 82, 67]",0.17770125807804346
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[68, 71, 76, 68]",0.2263123120893139
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[77, 52, 74, 63]",0.24262042226410196
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[91, 30, 70, 72]",0.19264754233108664
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[34, 69, 71, 72]",0.19462027315052186
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[102, 38, 81, 80]",0.144496742037309
pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[93, 96, 70, 69]",0.4812908042180437
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[61, 44, 78, 72]",0.2384916097917855
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[87, 91, 81, 70]",0.4584590458009684
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[39, 36, 68, 100]",0.3701545842738351
yorkshire_terrier_6,30,"[60.928000000000004, 72.84, 97.664, 67.2]","[80, 63, 75, 72]",0.6385408462334472
chihuahua_77,31,"[43.72, 17.024, 140.672, 195.776]","[80, 37, 70, 67]",0.1702965029056996
Persian_60,23,"[70.784, 69.70400000000001, 111.104, 116.032]","[89, 81, 60, 63]",0.2932137463747487
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[87, 41, 73, 87]",0.2693294091721794
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[68, 58, 71, 67]",0.3279994806595366
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[86, 37, 89, 81]",0.19422580540635562
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[74, 64, 83, 106]",0.3586525689548763
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[25, 39, 79, 70]",0.29538462888352984
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[60, 70, 84, 87]",0.25387543477481356
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[62, 95, 74, 78]",0.22353228090919247
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[79, 63, 73, 69]",0.3334661142393444
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[101, 61, 66, 65]",0.1363186278178363
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[71, 82, 97, 74]",0.2865576200794245
Persian_72,9,"[67.648, 37.896, 156.352, 148.288]","[90, 70, 74, 71]",0.22661080821407412
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[66, 63, 78, 71]",0.2530806131152978
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[46, 73, 72, 72]",0.4404986976030606
american_bulldog_81,1,"[51.072, 36.96, 172.928, 158.144]","[73, 58, 93, 76]",0.2584511701391208
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[86, 61, 72, 69]",0.31113935488030386
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[99, 57, 63, 60]",0.14831557800307799
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[95, 100, 84, 68]",0.2929411790654997
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[86, 86, 70, 68]",0.213947586485971
Russian_Blue_215,7,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[104, 57, 78, 74]",0.31977875240162773
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[54, 77, 78, 75]",0.2952293285386028
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[61, 44, 85, 77]",0.31366830877583995
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[106, 36, 78, 78]",0.21373395248567534
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[82, 51, 73, 75]",0.3045514507759094
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[80, 54, 81, 74]",0.28344477846090793
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[61, 96, 73, 74]",0.3969626460601497
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[32, 64, 117, 98]",0.49084876662542537
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[92, 51, 70, 71]",0.44350181370747366
american_pit_bull_terrier_30,34,"[53.088, 48.384, 94.976, 143.808]","[82, 38, 72, 72]",0.2755672599084929
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[53, 85, 114, 68]",0.26207468799513456
staffordshire_bull_terrier_27,14,"[21.928, 18.368000000000002, 174.272, 203.84]","[81, 58, 93, 77]",0.20158427346615923
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[74, 34, 76, 81]",0.30835462389439533
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[73, 63, 73, 67]",0.1628827924523952
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[91, 80, 78, 89]",0.23786706115291176
wheaten_terrier_34,29,"[45.248, 47.304, 86.016, 133.952]","[53, 49, 75, 69]",0.4491401804111068
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[89, 72, 109, 79]",0.2495099125775589
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[81, 21, 71, 72]",0.21358779360800925
chihuahua_192,10,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[56, 46, 82, 73]",0.21350180433079977
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[89, 62, 66, 92]",0.5636864252002723
miniature_pinscher_21,21,"[64.64, 25.984, 102.144, 162.624]","[66, 45, 69, 85]",0.35307788499806186
