index,pred_class,true_bbox,cam_bboxes,mobilenet_adv_iou
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[33, 52, 133, 108]",0.5055829852545413
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[75, 63, 102, 78]",0.3202076700608802
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[35, 65, 150, 97]",0.5577554182294879
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[47, 66, 123, 89]",0.392593454327315
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[63, 39, 101, 94]",0.5299211283820416
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[27, 63, 68, 58]",0.16126271239522594
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[100, 78, 95, 69]",0.5136307205361149
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[46, 53, 87, 81]",0.4914810728497726
english_setter_99,12,"[43.456, 38.792, 160.832, 146.94400000000002]","[97, 63, 99, 96]",0.40214447590300473
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[66, 74, 95, 79]",0.5287524790565264
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[32, 53, 104, 96]",0.3418329482366047
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[72, 94, 63, 64]",0.2428353848066642
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[63, 107, 114, 90]",0.5629714263464074
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[29, 55, 157, 106]",0.5175783887342108
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[40, 45, 89, 85]",0.3196072805861403
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[52, 26, 106, 88]",0.3203722551955917
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[71, 39, 85, 96]",0.44350396137426423
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[74, 61, 92, 88]",0.5599331963313359
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[68, 132, 129, 92]",0.49807830076943177
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[0, 0, 36, 30]",0.0
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[128, 78, 96, 62]",0.26091897935495
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[79, 40, 90, 81]",0.4365084064095439
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[85, 62, 67, 70]",0.3087541030563169
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[36, 25, 126, 127]",0.16879876619464076
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[57, 41, 106, 110]",0.7726287879898208
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[111, 56, 113, 73]",0.2535922495128011
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[109, 40, 88, 85]",0.5879620735874108
Bombay_90,30,"[16.128, 44.128, 207.872, 150.976]","[40, 75, 82, 85]",0.22208993074552547
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[74, 50, 96, 109]",0.39741277073164066
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[97, 68, 127, 94]",0.54397752638222
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[104, 53, 92, 82]",0.2840111074670802
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[58, 73, 127, 90]",0.34935794682324633
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[111, 90, 81, 55]",0.29563691007103415
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[50, 59, 130, 110]",0.4344198695574809
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[39, 75, 90, 62]",0.46161026013093964
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[37, 43, 138, 112]",0.5723639726876846
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[59, 84, 118, 66]",0.2851011872523653
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[78, 61, 129, 93]",0.49816312551981373
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[114, 65, 90, 75]",0.21725569895210445
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[77, 76, 96, 65]",0.3971542843239062
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[41, 50, 119, 78]",0.38731934188114514
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[62, 50, 99, 88]",0.2717961656344702
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[44, 64, 111, 102]",0.45480986318321803
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[41, 71, 120, 85]",0.634043337748304
boxer_84,25,"[29.568, 72.84, 194.43200000000002, 103.488]","[64, 78, 92, 74]",0.33834659454780774
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[83, 65, 82, 89]",0.443536456048839
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[20, 60, 135, 104]",0.5328836079886501
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[29, 50, 131, 121]",0.7152918994160035
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[48, 58, 128, 129]",0.49901379401007673
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[51, 60, 112, 101]",0.5009030140673403
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[92, 55, 109, 67]",0.3165385296388671
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[28, 50, 138, 112]",0.5886103324726876
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[96, 67, 79, 81]",0.28385659401981944
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[68, 43, 93, 93]",0.5365016360152737
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[76, 73, 82, 76]",0.8146234717916263
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[111, 63, 113, 101]",0.3493736902864432
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[64, 44, 94, 123]",0.4061320754716981
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[27, 55, 161, 131]",0.5784999831899003
havanese_21,15,"[64.06400000000001, 43.232, 159.04, 152.32]","[66, 63, 120, 99]",0.49040302740814645
British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[72, 46, 93, 94]",0.3746176182485757
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[45, 64, 129, 89]",0.5268294394479393
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[113, 88, 111, 88]",0.4275931845767352
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[81, 44, 102, 81]",0.2876827415371986
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[18, 80, 55, 58]",0.09980566991317717
staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[71, 73, 89, 81]",0.7468190842539213
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[56, 69, 99, 85]",0.6358297013511207
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[64, 62, 111, 117]",0.6319127193475461
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[57, 63, 120, 97]",0.40528200273820214
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[40, 91, 88, 73]",0.5173780552589735
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[66, 41, 100, 97]",0.672008310202246
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[53, 45, 130, 114]",0.348252996784244
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[72, 39, 76, 111]",0.2777325703308944
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[76, 41, 98, 104]",0.3700439530829933
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[118, 63, 62, 64]",0.3802861062893195
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[55, 59, 111, 79]",0.29378164975477816
Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[27, 57, 106, 109]",0.530905596671374
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 50, 120, 59]",0.14758661329396708
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[95, 38, 91, 82]",0.2462063563803621
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[75, 68, 75, 82]",0.2726702705900385
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[67, 46, 104, 109]",0.5299736876884309
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[46, 64, 101, 90]",0.39306207132451587
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[60, 82, 124, 71]",0.39188552702517204
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[71, 36, 111, 120]",0.5238943491646293
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[42, 0, 95, 137]",0.3959183213966187
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[120, 69, 104, 86]",0.47629526682950385
Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[90, 75, 91, 81]",0.31062086401960065
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[88, 50, 74, 96]",0.537028182088505
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[31, 76, 137, 112]",0.4492731932661803
leonberger_47,16,"[51.52, 90.75999999999999, 93.632, 59.136]","[0, 88, 33, 55]",0.0
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[36, 53, 162, 127]",0.7075941722205552
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[124, 95, 75, 68]",0.7763215878573232
leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[70, 71, 91, 89]",0.7054537247106347
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[62, 42, 103, 101]",0.6444871847732656
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[66, 64, 125, 84]",0.3888960201472281
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[78, 59, 78, 88]",0.47866444612779613
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[68, 46, 88, 93]",0.6345132524502262
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[40, 70, 131, 73]",0.6137400698192174
Siamese_6,32,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[70, 75, 95, 86]",0.3456887929217545
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[101, 65, 83, 90]",0.37494952004919474
Ragdoll_37,23,"[0.448, 58.056, 133.952, 106.176]","[37, 66, 95, 75]",0.5009672164556098
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[43, 41, 146, 160]",0.6420542267812364
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[68, 77, 104, 87]",0.46876691042435487
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[69, 95, 86, 88]",0.7191850250033789
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[66, 70, 129, 102]",0.35258153781671986
basset_hound_193,3,"[7.168, 38.0, 155.904, 94.976]","[54, 63, 95, 75]",0.43493444551044924
beagle_30,21,"[80.904, 11.648, 69.44, 186.816]","[71, 35, 94, 77]",0.35972925212182993
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[0, 56, 162, 82]",0.40274444251961466
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[32, 0, 124, 119]",0.3154648224019247
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[46, 74, 130, 89]",0.3706016217962595
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[63, 87, 85, 84]",0.22133133523126283
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[86, 57, 91, 70]",0.2711620763213809
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[94, 55, 81, 98]",0.2836401409208262
Ragdoll_93,26,"[28.448, 109.76, 132.608, 114.24000000000001]","[170, 187, 12, 37]",0.0
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[74, 51, 96, 113]",0.5030944760489523
Persian_27,23,"[10.896, 12.544, 198.912, 211.45600000000002]","[59, 72, 126, 100]",0.29956394992147106
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[52, 79, 103, 89]",0.2702616965795194
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[30, 93, 90, 83]",0.3979221934229856
Siamese_9,33,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[64, 66, 98, 61]",0.24588956915410792
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[126, 44, 98, 57]",0.2647956711873434
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[60, 57, 122, 90]",0.27955884679465065
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[75, 73, 113, 81]",0.3985873597509115
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[65, 64, 133, 103]",0.38399292997789836
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[65, 58, 117, 78]",0.339686194010808
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[109, 48, 72, 61]",0.4048904183162471
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[73, 74, 124, 106]",0.47072400388726915
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[60, 39, 85, 112]",0.3888814386322031
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[52, 52, 100, 83]",0.3588610735864835
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[62, 67, 125, 90]",0.36387680258063143
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[56, 67, 109, 85]",0.40572437529169764
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[64, 43, 104, 104]",0.5362799193120698
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[89, 32, 81, 95]",0.2941315155233555
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[0, 69, 149, 112]",0.46717205103495824
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[88, 62, 92, 89]",0.18258322898171084
pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[108, 108, 55, 55]",0.44057667317748445
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[38, 29, 127, 138]",0.6299475867881814
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[68, 81, 94, 79]",0.33760535171661016
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[56, 43, 53, 92]",0.27000400043194855
yorkshire_terrier_6,16,"[60.928000000000004, 72.84, 97.664, 67.2]","[96, 69, 82, 71]",0.5138128535507955
chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[62, 29, 109, 66]",0.2612181326020475
Persian_60,23,"[70.784, 69.70400000000001, 111.104, 116.032]","[78, 78, 80, 79]",0.49024097277471207
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[77, 59, 86, 119]",0.41297893842382627
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[66, 40, 92, 83]",0.4241023346331887
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[35, 38, 159, 143]",0.6110438658303697
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[76, 81, 107, 106]",0.4578795735957768
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[17, 39, 134, 90]",0.6285993464483172
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[46, 66, 120, 101]",0.4210413614491982
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[50, 70, 102, 115]",0.4542677850077664
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[76, 56, 88, 80]",0.461365574525998
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[85, 61, 97, 83]",0.2558278024618648
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[58, 76, 134, 93]",0.49750363073694454
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[93, 85, 82, 55]",0.19452126856594487
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[55, 78, 79, 87]",0.31408866990636364
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[34, 78, 99, 75]",0.6309226137543836
american_bulldog_81,28,"[51.072, 36.96, 172.928, 158.144]","[63, 46, 118, 87]",0.3753904517046143
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[82, 68, 74, 68]",0.29206253128629356
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[94, 51, 82, 74]",0.23808966331287754
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[86, 77, 138, 147]",0.6105215098781049
Bengal_79,11,"[11.648, 62.632, 191.744, 116.032]","[34, 97, 107, 83]",0.39024139611000275
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[86, 70, 97, 109]",0.5728450448867348
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[40, 75, 111, 81]",0.45374476801548336
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[36, 40, 123, 94]",0.4998899490816244
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[93, 41, 100, 100]",0.3129919386990501
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[69, 43, 109, 89]",0.4602764510729869
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[68, 64, 125, 95]",0.561546003373921
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[38, 99, 98, 78]",0.39770632145174156
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[28, 60, 141, 103]",0.5895867435322278
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[88, 60, 88, 85]",0.5076762930813816
american_pit_bull_terrier_30,34,"[53.088, 48.384, 94.976, 143.808]","[88, 64, 64, 90]",0.3857799284930765
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[153, 73, 30, 45]",0.04563994179481832
staffordshire_bull_terrier_27,34,"[21.928, 18.368000000000002, 174.272, 203.84]","[0, 30, 36, 35]",0.013571377297127273
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[68, 43, 93, 71]",0.33074489629218523
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[60, 56, 100, 100]",0.33302554171415905
Sphynx_47,1,"[29.344, 47.936, 165.76, 176.064]","[86, 0, 106, 125]",0.23839616588546844
wheaten_terrier_34,35,"[45.248, 47.304, 86.016, 133.952]","[91, 68, 61, 65]",0.20335582279842704
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[22, 60, 167, 95]",0.4596997750601523
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[62, 17, 97, 115]",0.46607430314893256
chihuahua_192,21,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[70, 54, 117, 102]",0.4256482681062086
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[76, 70, 95, 104]",0.5609186149584148
miniature_pinscher_21,33,"[64.64, 25.984, 102.144, 162.624]","[68, 34, 87, 71]",0.3718605448649664
