,index,pred_class,true_bbox,cam_bboxes,resnet_adv_iou
49,scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[92, 46, 132, 136]",0.8212100560842992
50,Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[0, 35, 224, 189]",0.6084642559719482
51,Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[0, 46, 191, 142]",0.6370376595004924
52,Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[38, 46, 139, 128]",0.691350023540165
53,Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[53, 0, 134, 157]",0.683259840777629
54,japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[56, 84, 143, 122]",0.4501536286257718
55,British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[45, 32, 154, 152]",0.7569538402223981
56,english_cocker_spaniel_99,13,"[87.36, 53.032, 58.688, 74.816]","[56, 28, 134, 133]",0.24636973448546742
57,basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[0, 45, 224, 154]",0.8938296153900656
58,Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[45, 45, 179, 148]",0.6048738007708478
59,newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[33, 38, 191, 158]",0.6685919937613962
60,Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[0, 32, 167, 153]",0.6060698782007369
61,scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[49, 31, 155, 142]",0.6312840765470965
62,saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[0, 34, 202, 165]",0.6338689497297009
63,samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[28, 31, 167, 168]",0.7375028177833436
64,staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[37, 0, 150, 165]",0.37829798541680376
65,Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[0, 27, 137, 134]",0.518870219337339
66,basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[94, 59, 130, 130]",0.5327087943195266
67,yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[0, 24, 147, 134]",0.522686614308316
68,english_setter_99,21,"[43.456, 38.792, 160.832, 146.94400000000002]","[43, 22, 148, 202]",0.6807429861619976
69,havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[38, 44, 148, 141]",0.6801699674142228
70,Birman_37,6,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[0, 25, 151, 142]",0.41755225113846445
71,Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[45, 59, 132, 133]",0.545407715927401
72,Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[39, 72, 160, 152]",0.7435567739294106
73,keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[34, 46, 149, 148]",0.6236547590793518
74,wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[0, 33, 157, 134]",0.6778173779686061
75,shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[35, 0, 146, 126]",0.5862446231928912
76,Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[51, 24, 133, 139]",0.40495303833452984
77,Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[46, 33, 142, 148]",0.5973363180512934
78,Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[30, 110, 158, 114]",0.7559307679018372
79,boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[56, 44, 128, 146]",0.14240876712328768
80,Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[96, 47, 128, 132]",0.28308892532230556
81,great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[57, 0, 138, 160]",0.3963172798079134
82,Persian_39,6,"[71.944, 19.264, 106.624, 142.464]","[49, 17, 146, 143]",0.7124517997849377
83,basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[22, 0, 163, 171]",0.2704972693383584
84,german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[36, 0, 144, 153]",0.5537087392122032
85,Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[89, 19, 135, 149]",0.49166045192037405
86,english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[88, 23, 136, 134]",0.4676015729310675
87,Bombay_90,30,"[16.128, 44.128, 207.872, 150.976]","[0, 60, 159, 134]",0.5707241654015547
88,miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[55, 0, 141, 179]",0.4896536924006471
89,english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[91, 41, 133, 147]",0.6088714025907144
90,Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[82, 28, 142, 127]",0.3601041234095598
91,Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[31, 27, 193, 197]",0.6802913833174205
92,saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[91, 45, 133, 142]",0.29834072116650906
93,Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[36, 38, 152, 186]",0.816184083532754
94,scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[0, 36, 156, 130]",0.375122505719921
95,saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[30, 24, 163, 166]",0.6530320855477095
96,saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[52, 47, 172, 141]",0.5082929719027299
97,boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[73, 43, 151, 140]",0.872938975261766
98,japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[95, 34, 129, 144]",0.5456667982185024
99,chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[45, 38, 154, 143]",0.5947706595050674
100,leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[27, 29, 163, 146]",0.6428284488844722
101,Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[24, 25, 172, 157]",0.7641609121971404
102,Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[20, 42, 140, 149]",0.5686957499659225
103,keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[35, 49, 138, 136]",0.6351848638540094
104,boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[34, 53, 146, 148]",0.5675872934072361
105,Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[56, 52, 136, 147]",0.7058721991155535
106,Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[0, 49, 172, 175]",0.693496394388632
107,newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[0, 36, 188, 171]",0.583607375886525
108,British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[31, 33, 165, 160]",0.7978418218184367
109,beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[32, 33, 162, 151]",0.722313210939249
110,japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[62, 31, 162, 145]",0.6542181963737872
111,english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[34, 38, 152, 148]",0.6473009655587822
112,basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[54, 46, 150, 144]",0.5515096822175131
113,great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[51, 0, 134, 165]",0.37558449547048667
114,scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[46, 53, 142, 137]",0.3801552889894108
115,British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[91, 24, 133, 156]",0.5154257128098977
116,Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[53, 0, 135, 177]",0.6491498809968371
117,leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[0, 37, 224, 160]",0.9336248338837945
118,havanese_21,15,"[64.06400000000001, 43.232, 159.04, 152.32]","[46, 44, 178, 145]",0.8549214899372186
119,British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[47, 37, 139, 141]",0.5669173634086649
120,basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[23, 39, 157, 152]",0.6637299724441688
121,Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[79, 57, 145, 167]",0.6456429499445309
122,havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[62, 27, 162, 140]",0.4959706902283374
123,Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 50, 105, 133]",0.39036531107827493
124,staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[44, 38, 139, 152]",0.42314270049223784
125,Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[27, 40, 142, 141]",0.47834626230263644
126,Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[48, 38, 142, 153]",0.7730180176720015
127,shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[19, 43, 205, 147]",0.5523675998932982
128,great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[29, 51, 137, 143]",0.4444530797691884
129,wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[42, 29, 142, 134]",0.5693504578515872
130,Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[23, 22, 201, 176]",0.7649012070729386
131,miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[41, 0, 137, 156]",0.6916606005604197
132,japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[57, 0, 140, 166]",0.4367602276029533
133,Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[96, 35, 128, 137]",0.38092812072080573
134,american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[0, 34, 224, 140]",0.7963488877949857
135,Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[0, 27, 158, 172]",0.7358612047713966
136,pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 20, 148, 156]",0.48096915615174296
137,chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[54, 0, 170, 143]",0.48074262621593644
138,boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[41, 33, 144, 143]",0.5739452743028379
139,newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[54, 26, 130, 136]",0.5882823239801013
140,english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[24, 33, 143, 149]",0.7039644062637306
141,Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[51, 58, 173, 131]",0.6030134581624899
142,wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[46, 20, 152, 160]",0.6632887693524833
143,Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[30, 0, 128, 160]",0.5338960792294838
144,samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[102, 36, 122, 152]",0.7250080955460916
145,Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[49, 40, 134, 124]",0.3110299024882886
146,chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[63, 31, 134, 131]",0.47097393287291983
147,Egyptian_Mau_40,5,"[0.0, 37.0, 223.552, 149.184]","[0, 50, 156, 138]",0.6316497491851082
148,leonberger_47,12,"[51.52, 90.75999999999999, 93.632, 59.136]","[50, 57, 143, 128]",0.30250338461538456
149,keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[56, 51, 168, 147]",0.7321438467186657
150,Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[98, 71, 126, 131]",0.3105038982188295
151,leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[46, 42, 143, 144]",0.3263974141414141
152,Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[28, 16, 167, 157]",0.5375581714024182
153,boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[62, 28, 162, 153]",0.7445115150088074
154,samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[46, 27, 135, 151]",0.5603444802831444
155,english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[44, 30, 140, 144]",0.457636977777778
156,Bombay_40,30,"[22.848, 66.08, 201.15200000000002, 76.16]","[0, 40, 145, 122]",0.3924257642584526
157,Siamese_6,10,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[29, 40, 138, 146]",0.6785818052219833
158,Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[87, 39, 137, 143]",0.5890786771273265
159,Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[0, 38, 166, 144]",0.5949835823293173
160,keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[19, 0, 205, 224]",0.7923175024390242
161,pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[41, 49, 183, 151]",0.6985019245105489
162,Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[46, 80, 138, 128]",0.5957326892109501
163,Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[40, 25, 184, 199]",0.7069702633814785
164,basset_hound_193,4,"[7.168, 38.0, 155.904, 94.976]","[0, 38, 167, 148]",0.5990912082861305
165,beagle_30,21,"[80.904, 11.648, 69.44, 186.816]","[43, 0, 143, 150]",0.3871461288886882
166,japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[0, 25, 169, 156]",0.6950820218721336
167,great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[0, 0, 176, 152]",0.489574881956876
168,Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[19, 27, 205, 154]",0.6477408956284847
169,Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[21, 58, 155, 142]",0.5606440468140654
170,pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[58, 32, 145, 148]",0.5228924040160385
171,staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[43, 18, 161, 144]",0.5463844195182899
172,Ragdoll_93,5,"[28.448, 109.76, 132.608, 114.24000000000001]","[17, 99, 107, 125]",0.6199277877802452
173,german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[48, 18, 147, 141]",0.42483419164948216
174,Persian_27,23,"[10.896, 12.544, 198.912, 211.45600000000002]","[24, 0, 200, 224]",0.8259293056290538
175,Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[27, 48, 162, 176]",0.6204241577559874
176,Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[0, 77, 161, 127]",0.6818480300763324
177,Siamese_9,10,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[39, 37, 144, 140]",0.6226276539838894
178,pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[100, 28, 124, 132]",0.6715044536283269
179,saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[33, 17, 191, 174]",0.7386357771650305
180,chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[42, 58, 164, 166]",0.6504681684407506
181,japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[52, 40, 172, 163]",0.6494221973318931
182,Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[46, 29, 153, 150]",0.8084871581829545
183,american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[82, 24, 142, 129]",0.3669290940684881
184,Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[62, 52, 162, 155]",0.7117205436617565
185,miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[40, 0, 134, 169]",0.6187764506387758
186,saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[44, 26, 145, 159]",0.7836370479269694
187,Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[41, 30, 183, 155]",0.7212947515360739
188,saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[47, 37, 157, 144]",0.7425293199144694
189,pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[43, 20, 157, 152]",0.6715800688220265
190,saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[72, 0, 130, 165]",0.6288892779010683
191,newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[0, 42, 147, 144]",0.4971397074241195
192,great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[67, 28, 157, 137]",0.4796266087161234
193,pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[69, 82, 128, 125]",0.4143784960000001
194,english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[0, 0, 183, 196]",0.5189343808874812
195,beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[52, 65, 139, 142]",0.35971064002495023
196,Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[28, 0, 127, 161]",0.48260343838801956
197,yorkshire_terrier_6,16,"[60.928000000000004, 72.84, 97.664, 67.2]","[70, 43, 134, 127]",0.3377300047180457
198,chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[24, 0, 153, 142]",0.5107975363523055
199,Persian_60,23,"[70.784, 69.70400000000001, 111.104, 116.032]","[42, 61, 142, 141]",0.6438727064229345
200,chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[57, 0, 133, 167]",0.5067553056128647
201,beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[41, 28, 137, 142]",0.6820215179481792
202,leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[20, 19, 204, 179]",0.7312694177590039
203,Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[54, 63, 150, 161]",0.6273328544520893
204,great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 20, 130, 132]",0.54486899987959
205,Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[21, 42, 174, 162]",0.7096905972700056
206,american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[31, 54, 135, 170]",0.5621442151045699
207,english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[44, 34, 149, 133]",0.6001184230066193
208,pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[55, 29, 169, 157]",0.7173189484255048
209,english_cocker_spaniel_39,22,"[29.792, 33.152, 163.968, 152.768]","[41, 56, 163, 136]",0.7251088083636237
210,Persian_72,9,"[67.648, 37.896, 156.352, 148.288]","[43, 34, 181, 140]",0.781065819661149
211,boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[34, 39, 161, 153]",0.6087935123870101
212,Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[0, 56, 144, 124]",0.6217396929552633
213,american_bulldog_81,28,"[51.072, 36.96, 172.928, 158.144]","[26, 0, 161, 174]",0.5070941689140276
214,Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[56, 46, 137, 138]",0.4908119783177178
215,Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[66, 0, 139, 162]",0.3996986909982848
216,english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[53, 48, 171, 176]",0.6478865964912282
217,Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[68, 79, 156, 127]",0.4723574441322715
218,Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[73, 43, 127, 142]",0.7252575501209176
219,great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[19, 57, 149, 144]",0.7270204125427155
220,wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[22, 29, 161, 152]",0.6821626467908751
221,Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[72, 0, 152, 158]",0.3489447663694863
222,great_pyrenees_88,29,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[43, 18, 156, 161]",0.5786680305632041
223,Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[50, 19, 174, 161]",0.6390973964307654
224,boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[25, 64, 137, 160]",0.6126083154260565
225,Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[19, 41, 177, 163]",0.6577935543961028
226,samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[68, 32, 138, 153]",0.4438885322574288
227,american_pit_bull_terrier_30,8,"[53.088, 48.384, 94.976, 143.808]","[39, 0, 127, 149]",0.41502804788774306
228,beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[23, 46, 159, 152]",0.689410890009944
229,staffordshire_bull_terrier_27,2,"[21.928, 18.368000000000002, 174.272, 203.84]","[27, 31, 197, 175]",0.733127583416816
230,scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[41, 0, 147, 154]",0.6174581529874831
