index,pred_class,true_bbox,cam_bboxes,efficientnet_iou
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[61, 26, 131, 116]",0.49212917824676256
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[69, 37, 132, 99]",0.38876978922352406
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[32, 69, 165, 101]",0.5525421883271455
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[68, 54, 112, 93]",0.6391681170470542
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[72, 60, 152, 91]",0.3654875083514967
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[56, 59, 105, 115]",0.616369793901148
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[65, 46, 98, 85]",0.4192741457316431
miniature_pinscher_76,4,"[103.936, 85.384, 87.36, 73.92]","[80, 62, 98, 89]",0.47091528006802236
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[57, 34, 117, 127]",0.5135867817626979
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[52, 55, 122, 109]",0.3520894858947926
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[68, 0, 95, 118]",0.42886830005434173
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[28, 37, 130, 101]",0.4508222791811195
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[73, 65, 106, 94]",0.527119399648545
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[82, 19, 109, 101]",0.41885420853835076
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[26, 98, 114, 83]",0.6107136728494797
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[29, 63, 107, 92]",0.5886735931082533
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[40, 26, 107, 91]",0.26021944411502484
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[52, 64, 100, 92]",0.560573405720655
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[99, 79, 125, 91]",0.6039446774100589
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[32, 68, 148, 105]",0.6025386546424181
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[35, 65, 129, 93]",0.4953739195224191
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[55, 48, 106, 112]",0.6501795134846144
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[69, 35, 110, 122]",0.5096389975578646
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[63, 94, 110, 84]",0.4337067106968002
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[62, 47, 112, 114]",0.4961013742948049
english_cocker_spaniel_99,13,"[87.36, 53.032, 58.688, 74.816]","[65, 42, 97, 88]",0.5143862942830366
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[43, 50, 140, 121]",0.49126293179429525
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[53, 67, 132, 112]",0.4830812644573047
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[33, 59, 150, 112]",0.5866320723736905
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[34, 62, 128, 102]",0.4595441002146541
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[62, 56, 118, 102]",0.4663984241926579
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[32, 56, 159, 108]",0.6382983581348428
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[36, 57, 136, 102]",0.49749304818018764
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[58, 34, 108, 112]",0.5546263123780021
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[0, 38, 109, 93]",0.3193831527917928
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[98, 62, 99, 92]",0.6128061155713812
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[28, 31, 105, 110]",0.49602934462471915
english_setter_99,3,"[43.456, 38.792, 160.832, 146.94400000000002]","[64, 68, 139, 103]",0.6057978179191202
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[45, 61, 130, 90]",0.6802596216244815
Birman_37,6,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[28, 45, 100, 93]",0.30907714320073226
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[47, 77, 104, 93]",0.46455681261760745
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[66, 99, 109, 104]",0.6090014556999314
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[41, 52, 146, 109]",0.49493705554117473
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[34, 44, 97, 98]",0.39637489021782757
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[42, 0, 126, 111]",0.47179213625466127
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[66, 25, 90, 109]",0.45629872361603185
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[67, 49, 99, 104]",0.7024223439775726
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[59, 124, 135, 100]",0.566570362351477
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[72, 64, 88, 86]",0.3184851309548361
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[114, 63, 110, 81]",0.3254632669926204
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[65, 33, 105, 121]",0.6052964726597392
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[71, 52, 90, 91]",0.5305121545776253
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[45, 20, 122, 118]",0.19589386102618658
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[59, 0, 98, 148]",0.6371992516682026
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[105, 43, 119, 85]",0.3111528397030383
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[92, 35, 101, 97]",0.5522691634810034
Bombay_90,7,"[16.128, 44.128, 207.872, 150.976]","[37, 63, 187, 116]",0.6911871991007086
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[67, 46, 98, 116]",0.46784312407954887
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[107, 57, 117, 104]",0.6170184031417988
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[95, 42, 99, 86]",0.29331762384360177
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[48, 56, 139, 119]",0.5055756604027399
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[105, 62, 99, 81]",0.31975077627333753
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[57, 48, 112, 113]",0.3844767740642992
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[34, 62, 92, 88]",0.6791585151950513
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[47, 39, 126, 111]",0.5059985135122921
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[49, 72, 135, 90]",0.44478420969648663
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[64, 46, 141, 102]",0.5440430421497502
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[93, 51, 131, 101]",0.41146422035239266
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[66, 62, 109, 106]",0.7353718911984635
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[41, 35, 114, 96]",0.36345011562415774
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[53, 39, 117, 102]",0.37231582193316887
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[34, 53, 112, 115]",0.47717336720216474
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[37, 67, 127, 88]",0.6772346424634387
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[58, 78, 108, 90]",0.4830682871628513
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[74, 63, 95, 107]",0.6177785798487871
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[23, 56, 134, 125]",0.6357407716388809
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[28, 50, 133, 127]",0.74972519750107
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[52, 55, 122, 114]",0.42031757794889457
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[52, 54, 111, 105]",0.5026784956010443
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[78, 39, 125, 110]",0.5565956777741308
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[30, 40, 127, 122]",0.6432545255253387
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[87, 61, 98, 96]",0.36287147070886544
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[60, 36, 103, 102]",0.48330470126987907
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[67, 66, 96, 95]",0.8109145824561399
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[69, 50, 155, 113]",0.5545713774799335
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[54, 47, 109, 133]",0.5092282215977519
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[34, 50, 160, 141]",0.6187928320498861
havanese_21,16,"[64.06400000000001, 43.232, 159.04, 152.32]","[54, 59, 81, 79]",0.22397831932151893
British_Shorthair_21,27,"[85.624, 27.776, 98.11200000000001, 189.952]","[68, 18, 105, 74]",0.2698559233733385
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[49, 50, 133, 101]",0.6421195840254705
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[98, 78, 126, 105]",0.5812409393462299
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[64, 36, 128, 94]",0.4098553471721717
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 61, 111, 84]",0.2766887398869555
staffordshire_bull_terrier_3,1,"[63.616, 76.424, 114.688, 77.952]","[61, 65, 95, 95]",0.6690595956353139
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[46, 64, 112, 90]",0.6490560218511761
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[63, 67, 113, 109]",0.5993123095559965
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[36, 44, 148, 119]",0.5770418409467621
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[26, 66, 112, 93]",0.5213458261004111
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[57, 41, 104, 91]",0.6450371117043399
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[54, 33, 124, 127]",0.3700599320754571
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[56, 17, 111, 137]",0.5006495017806912
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[39, 37, 139, 131]",0.6393314102474162
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[89, 60, 97, 88]",0.7400912855181727
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[46, 37, 131, 100]",0.43888010169775277
Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[19, 62, 112, 103]",0.5300784977670912
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 35, 137, 121]",0.3454263544651738
chihuahua_86,31,"[27.776, 32.272, 186.368, 162.624]","[71, 29, 123, 112]",0.43547329133928836
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[54, 45, 97, 92]",0.32206122149206423
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[67, 37, 94, 111]",0.47921989549536004
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[31, 47, 132, 113]",0.577168358039933
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[57, 73, 120, 86]",0.45936604258289127
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[61, 40, 108, 100]",0.49565773861219076
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[34, 0, 111, 145]",0.43820358829481276
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[115, 58, 109, 96]",0.5567338740933327
Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[70, 61, 111, 85]",0.37752803584626077
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[74, 48, 91, 82]",0.5328539795631364
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[27, 66, 153, 131]",0.5252972834895936
leonberger_47,19,"[51.52, 90.75999999999999, 93.632, 59.136]","[76, 64, 88, 81]",0.42076654420665244
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[40, 52, 157, 112]",0.6047601790768078
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[117, 88, 107, 78]",0.6140878677210639
leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[60, 61, 90, 103]",0.6286464740637215
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[64, 37, 96, 121]",0.735739971673893
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[76, 52, 130, 101]",0.48630521376505764
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[66, 43, 94, 112]",0.5322167841502725
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[57, 30, 106, 104]",0.5450457770726644
Bombay_40,30,"[22.848, 66.08, 201.15200000000002, 76.16]","[16, 59, 94, 73]",0.3495268552003525
Siamese_6,32,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[61, 70, 105, 110]",0.4887032507033372
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[93, 54, 131, 103]",0.5126070074085407
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[27, 52, 111, 87]",0.5724566862173008
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[47, 33, 142, 152]",0.5932405150191012
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[63, 63, 118, 95]",0.5727014575908974
Maine_Coon_254,20,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[56, 83, 88, 84]",0.5888221790570369
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[49, 56, 146, 125]",0.4890266807383445
basset_hound_193,14,"[7.168, 38.0, 155.904, 94.976]","[32, 51, 106, 83]",0.5825718075042208
beagle_30,4,"[80.904, 11.648, 69.44, 186.816]","[64, 37, 101, 100]",0.4305421267416024
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[0, 43, 169, 105]",0.5379930843503886
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[32, 0, 124, 129]",0.34497399160063796
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[43, 48, 148, 107]",0.507246956159513
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[44, 57, 118, 110]",0.38486066382432543
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[72, 38, 115, 98]",0.3565868383469208
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[41, 40, 150, 116]",0.6028675545452997
Ragdoll_93,15,"[28.448, 109.76, 132.608, 114.24000000000001]","[57, 124, 78, 79]",0.40675581888160667
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[73, 0, 106, 133]",0.48320869212242107
Persian_27,23,"[10.896, 12.544, 198.912, 211.45600000000002]","[63, 46, 125, 120]",0.3566237499065132
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[38, 66, 137, 103]",0.41602081383588935
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[27, 83, 111, 97]",0.573551306102448
Siamese_9,10,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[50, 60, 114, 93]",0.42139564068756763
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[115, 36, 109, 98]",0.4929389255857584
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[63, 42, 121, 107]",0.32964010832881074
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[68, 81, 115, 109]",0.5785592772024012
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[59, 63, 134, 103]",0.38688009486495023
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[63, 39, 132, 109]",0.5355473328322929
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[99, 35, 93, 96]",0.47749797963471785
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[76, 68, 117, 104]",0.4357706694537653
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[46, 19, 119, 169]",0.7351170625514646
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[40, 36, 120, 106]",0.4758117175162024
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[53, 59, 139, 97]",0.4361023048173025
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[40, 63, 133, 97]",0.47323292340192563
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[51, 35, 115, 97]",0.4321842306547861
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[71, 0, 106, 127]",0.44882134924119105
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[0, 53, 132, 112]",0.39277678874201266
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[81, 26, 143, 102]",0.32525146286360945
pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[81, 96, 91, 75]",0.5333121861193663
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[55, 0, 102, 112]",0.3421563219971801
beagle_6,28,"[92.288, 103.504, 109.312, 74.816]","[72, 88, 124, 83]",0.6102928362843275
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[49, 44, 88, 130]",0.554555758045369
yorkshire_terrier_6,36,"[60.928000000000004, 72.84, 97.664, 67.2]","[61, 59, 116, 84]",0.6727142384471164
chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[60, 27, 117, 111]",0.47156517766232847
Persian_60,20,"[70.784, 69.70400000000001, 111.104, 116.032]","[69, 62, 104, 97]",0.6589220392390343
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[65, 28, 102, 126]",0.49361939866324206
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[46, 39, 120, 99]",0.5693741018419646
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[46, 29, 144, 140]",0.5431533134959259
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[67, 75, 113, 112]",0.5159248593649596
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 34, 140, 90]",0.4800356006101447
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[46, 52, 124, 115]",0.49538364804171336
american_bulldog_49,8,"[35.616, 21.056, 154.112, 167.552]","[58, 93, 99, 84]",0.3220537851768615
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[66, 41, 100, 93]",0.41103391419600144
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[84, 47, 103, 90]",0.29456262934063926
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[45, 62, 142, 102]",0.5782252116509312
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[65, 39, 159, 127]",0.8441966020072544
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[50, 55, 115, 99]",0.4791147751782528
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[20, 60, 117, 92]",0.8352225069309662
american_bulldog_81,28,"[51.072, 36.96, 172.928, 158.144]","[43, 37, 136, 92]",0.41898587776095186
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[70, 58, 99, 83]",0.3793834776621012
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[76, 36, 108, 110]",0.4080372888985265
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[72, 74, 125, 109]",0.6987611282856151
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[78, 86, 101, 83]",0.37679046586384346
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[83, 69, 107, 115]",0.636265343584723
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[29, 61, 129, 103]",0.6601933436586955
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[34, 40, 125, 113]",0.6071036843171776
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[92, 37, 101, 93]",0.2965572928249183
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[66, 29, 105, 122]",0.636088971320001
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[62, 41, 125, 114]",0.6243964365294328
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[43, 87, 92, 90]",0.41451757500156355
Bengal_31,11,"[0.448, 42.824, 163.968, 142.464]","[29, 93, 110, 83]",0.3908467852163033
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[88, 44, 81, 94]",0.5758897404110842
american_pit_bull_terrier_30,14,"[53.088, 48.384, 94.976, 143.808]","[66, 32, 95, 114]",0.4861620702536632
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[31, 61, 135, 103]",0.47009140048662873
staffordshire_bull_terrier_27,2,"[21.928, 18.368000000000002, 174.272, 203.84]","[46, 31, 150, 131]",0.5531533268551919
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[61, 37, 101, 104]",0.4868002702870506
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[54, 46, 115, 117]",0.448085866376401
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[85, 73, 104, 100]",0.35635514779462435
wheaten_terrier_34,30,"[45.248, 47.304, 86.016, 133.952]","[74, 35, 84, 74]",0.2487114356564491
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[42, 47, 182, 118]",0.6222825319377139
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[62, 0, 102, 151]",0.6249068081596397
chihuahua_192,10,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[46, 51, 109, 102]",0.39654411302202336
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[72, 40, 97, 102]",0.4609336915985799
miniature_pinscher_21,2,"[64.64, 25.984, 102.144, 162.624]","[41, 35, 122, 120]",0.6069149225624935
