index,pred_class,true_bbox,cam_bboxes,vggnet_adv_iou
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[54, 52, 45, 50]",0.09675267462164899
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[61, 35, 58, 61]",0.1215134046828906
Abyssinian_3,33,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[69, 26, 67, 67]",0.26769019463346266
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[86, 89, 70, 57]",0.30245895693507435
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[25, 119, 79, 74]",0.245345950985684
boxer_65,14,"[98.11200000000001, 85.112, 38.08, 69.888]","[75, 107, 10, 12]",0.0
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[123, 89, 64, 61]",0.2786622900479329
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[94, 34, 65, 60]",0.23531895701027364
Persian_39,26,"[71.944, 19.264, 106.624, 142.464]","[68, 66, 80, 87]",0.4259822791075237
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[60, 40, 89, 85]",0.0898520878575989
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[61, 42, 67, 54]",0.2397402191206837
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[109, 58, 76, 58]",0.1480175181564144
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[102, 41, 78, 58]",0.37190639134534886
Bombay_90,7,"[16.128, 44.128, 207.872, 150.976]","[29, 67, 173, 102]",0.5622667027167206
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[86, 58, 63, 67]",0.190739805751341
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[153, 90, 71, 49]",0.2326726299526371
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[124, 58, 57, 59]",0.15870480081375157
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[98, 82, 64, 56]",0.10954495900389456
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[124, 76, 56, 54]",0.19259430223162277
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[90, 93, 68, 62]",0.12807791398981394
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[45, 65, 74, 62]",0.45139890645602987
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[66, 52, 61, 71]",0.16426281522245872
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[81, 89, 64, 58]",0.13588798241920644
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[122, 42, 57, 66]",0.1562131931487488
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[133, 75, 63, 56]",0.11355231198563326
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[88, 67, 84, 67]",0.3582026141306
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[53, 83, 93, 63]",0.25722304435255466
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[75, 58, 64, 52]",0.10382663443887934
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[45, 77, 82, 77]",0.2536362370728527
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[61, 87, 77, 45]",0.2153882514997915
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[68, 74, 61, 77]",0.2334333070785918
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[73, 45, 74, 96]",0.4317460925967323
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[22, 65, 111, 116]",0.4887043686938645
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[62, 104, 55, 58]",0.17002624019761944
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[63, 73, 74, 67]",0.14983711183999276
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[65, 62, 67, 77]",0.22844401074729567
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[125, 62, 65, 56]",0.17938882526715863
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[131, 149, 25, 40]",0.04151636281950036
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[99, 87, 67, 61]",0.18129737455211786
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[75, 36, 74, 65]",0.3499181865623794
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[73, 72, 59, 68]",0.4811500881479723
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[136, 65, 65, 62]",0.14981437304754472
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[101, 0, 77, 86]",0.19939647848123518
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[122, 66, 80, 123]",0.2698990012132482
havanese_21,15,"[64.06400000000001, 43.232, 159.04, 152.32]","[78, 55, 82, 72]",0.24371544392404854
British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[86, 36, 73, 120]",0.4700435598767809
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[40, 57, 148, 83]",0.5360989509018044
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[151, 62, 56, 74]",0.20853469146460477
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[95, 61, 62, 57]",0.12305383788337688
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 67, 72, 56]",0.11737872719181126
staffordshire_bull_terrier_3,2,"[63.616, 76.424, 114.688, 77.952]","[79, 72, 78, 65]",0.5088648857753519
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[60, 70, 64, 78]",0.382859216187052
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[68, 85, 85, 74]",0.30605459341619046
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[60, 66, 100, 62]",0.21587185712859566
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[56, 83, 67, 55]",0.32078480816366284
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[68, 45, 67, 76]",0.3806060294216837
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[78, 67, 71, 61]",0.10177353097655606
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[62, 35, 67, 61]",0.13455346312735483
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[101, 37, 59, 59]",0.1428402538128954
Abyssinian_43,33,"[89.864, 58.688, 77.504, 96.768]","[102, 35, 79, 95]",0.45067675149900177
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[67, 37, 86, 78]",0.22473341390752102
Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[23, 33, 75, 68]",0.23434468954682428
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 59, 96, 64]",0.12766458091322594
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[118, 31, 49, 55]",0.08668592033754952
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[70, 66, 69, 59]",0.1804944181417962
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[74, 71, 77, 83]",0.2996697999852114
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[36, 92, 57, 57]",0.13280669747875595
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[117, 63, 76, 73]",0.22924808048620213
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[85, 30, 63, 56]",0.14999794874600003
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[45, 26, 74, 74]",0.19995866893749759
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[139, 85, 64, 45]",0.15336878001665596
Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[79, 67, 79, 65]",0.49635815228750163
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[97, 46, 67, 65]",0.28967503093474734
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[30, 61, 84, 68]",0.1712724032363311
leonberger_47,19,"[51.52, 90.75999999999999, 93.632, 59.136]","[96, 96, 61, 60]",0.4045702851707347
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[80, 69, 125, 104]",0.4471043180162933
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[128, 103, 59, 62]",0.5483246877766091
leonberger_70,8,"[80.64, 75.00800000000001, 72.128, 93.184]","[73, 62, 74, 69]",0.45806667706935206
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[62, 49, 91, 82]",0.5294362249983724
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[97, 52, 86, 59]",0.1879293720216224
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[90, 65, 59, 52]",0.21394850243590888
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[86, 42, 66, 75]",0.40696491321054606
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[35, 72, 71, 53]",0.24563085952643865
Siamese_6,33,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[138, 123, 18, 26]",0.019802001846680673
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[124, 77, 62, 57]",0.17738575687467928
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[48, 66, 65, 67]",0.30620522493532365
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[75, 64, 87, 57]",0.1362990972006914
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[89, 78, 71, 64]",0.23541963317509598
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[107, 170, 8, 8]",0.0060819029598594395
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[120, 97, 65, 67]",0.11669650381454741
basset_hound_193,15,"[7.168, 38.0, 155.904, 94.976]","[59, 42, 55, 55]",0.20429335756138825
beagle_30,10,"[80.904, 11.648, 69.44, 186.816]","[67, 17, 88, 101]",0.4723789466714623
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[45, 63, 72, 57]",0.12442511232313298
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[43, 18, 75, 62]",0.11475550073962837
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[42, 79, 85, 67]",0.18241799793687968
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[39, 82, 76, 96]",0.22616714591698792
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[94, 55, 71, 61]",0.21087583914507196
staffordshire_bull_terrier_46,2,"[0.0, 37.448, 188.16, 148.736]","[78, 38, 112, 60]",0.23524583240738386
Ragdoll_93,6,"[28.448, 109.76, 132.608, 114.24000000000001]","[129, 59, 38, 35]",0.0
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[85, 0, 71, 100]",0.3947392165760385
Persian_27,23,"[10.896, 12.544, 198.912, 211.45600000000002]","[96, 77, 71, 55]",0.0928410495589956
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[55, 91, 76, 69]",0.1546037238860041
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[43, 84, 88, 82]",0.3843917734592054
Siamese_9,33,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[40, 42, 127, 90]",0.37913278608174666
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[133, 41, 66, 65]",0.27488118366559583
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[94, 67, 56, 64]",0.09125126656757995
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[73, 77, 105, 80]",0.41865667250877964
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[106, 80, 72, 57]",0.1150381038491346
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[55, 35, 103, 99]",0.3795507473513269
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[122, 36, 61, 66]",0.34298222609643964
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[85, 116, 74, 63]",0.16695947246823256
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[61, 31, 64, 64]",0.16731705594931764
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[61, 58, 54, 50]",0.11673793960042234
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[54, 75, 76, 77]",0.189280626551276
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[58, 73, 54, 55]",0.1300595137200585
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[83, 47, 67, 58]",0.20223572735270273
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[75, 27, 60, 62]",0.14219223362532585
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[31, 72, 66, 65]",0.16332569871199898
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[95, 44, 86, 88]",0.16875792341641274
pug_40,25,"[96.136, 109.312, 89.152, 74.368]","[96, 103, 62, 56]",0.4373690302544478
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[69, 26, 64, 49]",0.13317480204897422
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[90, 98, 42, 56]",0.23522576375179646
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[45, 45, 58, 56]",0.1798550027487631
yorkshire_terrier_6,16,"[60.928000000000004, 72.84, 97.664, 67.2]","[67, 100, 55, 57]",0.293790374497747
chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[143, 48, 1, 1]",3.631055499055428e-05
Persian_60,20,"[70.784, 69.70400000000001, 111.104, 116.032]","[82, 92, 54, 88]",0.36861156687111263
chihuahua_85,21,"[45.96, 16.576, 106.624, 192.64000000000001]","[106, 167, 12, 12]",0.0070106946433058275
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[67, 34, 64, 73]",0.2281811828114965
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[72, 44, 116, 143]",0.44691602997373103
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[83, 68, 62, 76]",0.19208580415041798
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 35, 80, 61]",0.16321595346230186
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[58, 88, 76, 77]",0.2032948883828967
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[74, 112, 59, 74]",0.16908210991849174
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[92, 62, 66, 42]",0.18351559830682207
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[103, 58, 75, 62]",0.14775795322912327
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[134, 88, 55, 68]",0.14930697953427802
Persian_72,9,"[67.648, 37.896, 156.352, 148.288]","[95, 67, 70, 65]",0.19624651263304857
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[51, 66, 61, 61]",0.1700456773929258
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[40, 91, 79, 58]",0.3893451065619644
american_bulldog_81,1,"[51.072, 36.96, 172.928, 158.144]","[70, 37, 58, 91]",0.19299735087638367
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[74, 63, 71, 68]",0.23348663621002474
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[98, 45, 64, 59]",0.1481586303014874
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[66, 66, 59, 61]",0.1773933274665777
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[126, 84, 47, 86]",0.18167566062527202
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[102, 71, 76, 82]",0.34526354555906863
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[44, 85, 82, 69]",0.2855397505763102
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[77, 33, 70, 89]",0.27526443624388586
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[99, 33, 79, 84]",0.24798985314111044
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[81, 63, 69, 62]",0.2379673253733955
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[80, 76, 87, 100]",0.41140633510341995
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[62, 88, 73, 60]",0.2860967429379
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[0, 133, 123, 63]",0.2594275043863726
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[99, 58, 58, 45]",0.2724683136737956
american_pit_bull_terrier_30,2,"[53.088, 48.384, 94.976, 143.808]","[90, 35, 64, 55]",0.16369089420302763
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[50, 62, 75, 95]",0.24087747058376335
staffordshire_bull_terrier_27,2,"[21.928, 18.368000000000002, 174.272, 203.84]","[106, 57, 75, 99]",0.20901595175062596
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[75, 37, 74, 59]",0.21869335411353638
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[76, 59, 75, 56]",0.1398707275199468
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[93, 54, 82, 112]",0.31468900743709904
wheaten_terrier_34,30,"[45.248, 47.304, 86.016, 133.952]","[66, 54, 66, 45]",0.25416232186247434
staffordshire_bull_terrier_81,21,"[17.472, 28.896, 206.528, 167.104]","[41, 69, 158, 78]",0.35709675561558885
staffordshire_bull_terrier_24,2,"[57.544, 2.688, 118.72, 201.6]","[71, 28, 74, 50]",0.1545921041372524
chihuahua_192,21,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[62, 61, 68, 63]",0.15279681419197227
wheaten_terrier_20,19,"[83.144, 50.624, 67.648, 143.36]","[93, 90, 64, 42]",0.24373171337366437
miniature_pinscher_21,10,"[64.64, 25.984, 102.144, 162.624]","[68, 30, 79, 59]",0.28059608217834037
