index,pred_class,true_bbox,cam_bboxes,vggnet_iou
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[79, 172, 9, 5]",0.0015806904857486954
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[75, 60, 100, 76]",0.20845857817283397
havanese_21,16,"[64.06400000000001, 43.232, 159.04, 152.32]","[77, 70, 79, 70]",0.22827683009823652
British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[99, 86, 62, 93]",0.3093916856449222
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[60, 62, 114, 78]",0.42505228475802015
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[107, 94, 95, 90]",0.4302537673799157
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[90, 43, 88, 62]",0.18997785497784503
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 66, 74, 60]",0.12941613318295178
staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[69, 72, 68, 56]",0.37952293310409563
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[65, 67, 68, 67]",0.34942039041430467
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[71, 63, 80, 76]",0.29583655452630175
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[42, 58, 142, 79]",0.37581468431409987
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[46, 73, 77, 61]",0.3520723389325072
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[68, 36, 62, 73]",0.2756227342889314
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[70, 61, 90, 65]",0.13746828820430684
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[63, 31, 69, 66]",0.1499281798585696
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[105, 34, 62, 64]",0.15904951757004004
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[120, 60, 67, 67]",0.3600187872221274
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[70, 64, 110, 81]",0.2985054737501509
Egyptian_Mau_77,5,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[23, 42, 95, 139]",0.6067689461697676
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 55, 98, 61]",0.12426552025270085
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[93, 36, 68, 66]",0.1480801564506922
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[67, 67, 71, 63]",0.19615270846973842
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[80, 45, 72, 62]",0.2093140333490821
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[39, 63, 59, 90]",0.22961051691234094
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[45, 66, 144, 97]",0.618722209089358
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[92, 30, 57, 75]",0.1850869049108941
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[47, 23, 70, 68]",0.1738135982729161
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[141, 72, 83, 62]",0.2740401881825388
Bombay_8,4,"[19.264, 74.024, 138.43200000000002, 51.968]","[129, 134, 33, 22]",0.0
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[96, 55, 65, 60]",0.3150285555637532
Egyptian_Mau_40,5,"[0.0, 37.0, 223.552, 149.184]","[32, 72, 65, 95]",0.18515530286840767
leonberger_47,28,"[51.52, 90.75999999999999, 93.632, 59.136]","[79, 92, 67, 57]",0.6750980031010912
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[66, 62, 118, 94]",0.3814831611874404
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[126, 98, 68, 64]",0.7069175712729447
leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[78, 68, 68, 64]",0.5069279624155973
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[59, 56, 100, 61]",0.4208464812925491
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[95, 63, 73, 59]",0.15952144369277252
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[88, 58, 60, 56]",0.23431126733528482
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[76, 51, 73, 74]",0.4862441044113449
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[33, 71, 65, 58]",0.24608778645088325
Siamese_6,32,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[47, 43, 86, 128]",0.44348013233424766
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[120, 59, 72, 68]",0.2457500468756168
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[40, 66, 78, 65]",0.3564777245515708
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[64, 62, 114, 60]",0.18799875475957434
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[93, 97, 64, 56]",0.1856830909550053
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[70, 104, 66, 74]",0.4641252196242735
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[91, 86, 78, 61]",0.1274952847645503
basset_hound_193,15,"[7.168, 38.0, 155.904, 94.976]","[60, 43, 62, 67]",0.2805403660528948
beagle_30,10,"[80.904, 11.648, 69.44, 186.816]","[84, 39, 71, 69]",0.3443520550815971
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[38, 60, 89, 63]",0.16999308109059616
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[41, 0, 81, 77]",0.12667793102930117
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[69, 56, 87, 82]",0.22851097406175586
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[66, 98, 79, 71]",0.17387219318097386
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[92, 53, 71, 60]",0.2074188581754806
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[101, 52, 82, 72]",0.2109613746531315
Ragdoll_93,15,"[28.448, 109.76, 132.608, 114.24000000000001]","[44, 105, 109, 96]",0.6347443205996042
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[93, 43, 59, 66]",0.2679474717505754
Persian_27,26,"[10.896, 12.544, 198.912, 211.45600000000002]","[115, 40, 77, 83]",0.15194549237683505
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[62, 81, 98, 63]",0.1820220044378698
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[39, 93, 93, 71]",0.35173764968835
Siamese_9,32,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[56, 46, 117, 99]",0.47618747988820254
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[135, 45, 89, 60]",0.24561820546686472
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[98, 46, 69, 78]",0.13702966424852547
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[81, 92, 89, 61]",0.28751897063831905
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[104, 71, 83, 70]",0.1628585242113723
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[59, 62, 111, 80]",0.3305296299381958
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[120, 59, 60, 72]",0.46914199419959784
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[65, 106, 61, 71]",0.15510542154867335
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[62, 35, 63, 63]",0.16212924684151409
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[60, 44, 68, 64]",0.1844590028842465
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[70, 52, 89, 87]",0.2504442739894959
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[63, 67, 75, 65]",0.21348152504555057
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[76, 60, 66, 57]",0.1957825029080977
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[81, 26, 68, 62]",0.16115119810870263
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[31, 60, 70, 81]",0.21586403536061405
great_pyrenees_79,29,"[4.48, 10.719999999999999, 219.52, 204.288]","[99, 91, 82, 48]",0.08776839145969881
pug_40,1,"[96.136, 109.312, 89.152, 74.368]","[106, 106, 71, 61]",0.5966094600750633
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[55, 33, 73, 69]",0.21390353250021785
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[70, 99, 123, 65]",0.6043950785598221
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[47, 34, 61, 63]",0.21280257868334254
yorkshire_terrier_6,13,"[60.928000000000004, 72.84, 97.664, 67.2]","[68, 64, 113, 89]",0.5780141095173088
chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[55, 33, 106, 62]",0.23863296739792275
Persian_60,26,"[70.784, 69.70400000000001, 111.104, 116.032]","[74, 115, 67, 55]",0.28584461782829335
chihuahua_85,21,"[45.96, 16.576, 106.624, 192.64000000000001]","[100, 37, 58, 60]",0.1512120243028757
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[118, 60, 50, 63]",0.217195367684999
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[98, 41, 79, 68]",0.14473311508433104
Egyptian_Mau_20,5,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[62, 30, 63, 69]",0.1676936347995835
great_pyrenees_95,17,"[19.264, 51.400000000000006, 133.056, 108.416]","[95, 69, 65, 88]",0.33402291700232134
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[51, 70, 83, 67]",0.19318572698176495
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[64, 120, 66, 66]",0.1686948398545465
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[92, 59, 65, 57]",0.24528329427372864
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[102, 69, 72, 65]",0.1487112303467305
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[75, 87, 110, 72]",0.3161794860725887
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[93, 62, 78, 68]",0.22876736329795377
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[68, 71, 67, 90]",0.27556448123605015
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[28, 79, 88, 69]",0.5159544930258071
american_bulldog_81,8,"[51.072, 36.96, 172.928, 158.144]","[74, 60, 99, 55]",0.19910393624894068
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[81, 67, 68, 70]",0.26625230925900695
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[99, 50, 66, 58]",0.1501989504221647
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[66, 78, 69, 83]",0.2937104573718692
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[41, 104, 127, 80]",0.41360384523167015
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[95, 59, 81, 78]",0.350028093845025
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[54, 92, 89, 71]",0.31889814137357797
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[94, 33, 63, 71]",0.1728787947008375
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[107, 39, 78, 68]",0.1839226034450967
great_pyrenees_88,24,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[84, 54, 72, 51]",0.20425806890395237
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[126, 76, 66, 83]",0.2590441268616706
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[55, 95, 81, 65]",0.36427028703440356
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[29, 71, 135, 119]",0.6429863496659449
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[98, 56, 60, 63]",0.3851984419412569
american_pit_bull_terrier_30,14,"[53.088, 48.384, 94.976, 143.808]","[67, 102, 76, 86]",0.47853655877798135
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[50, 74, 62, 75]",0.15720424395992977
staffordshire_bull_terrier_27,2,"[21.928, 18.368000000000002, 174.272, 203.84]","[111, 76, 69, 79]",0.15344726639631812
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[77, 39, 76, 63]",0.23983137414008526
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[72, 56, 76, 63]",0.15945262937273935
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[120, 60, 54, 44]",0.08141344530384881
wheaten_terrier_34,1,"[45.248, 47.304, 86.016, 133.952]","[41, 131, 81, 45]",0.29486795267642085
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[77, 105, 13, 23]",0.008663739851433063
staffordshire_bull_terrier_24,2,"[57.544, 2.688, 118.72, 201.6]","[75, 0, 82, 74]",0.2420921963265609
chihuahua_192,21,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[62, 67, 70, 64]",0.15978751810925207
wheaten_terrier_20,19,"[83.144, 50.624, 67.648, 143.36]","[101, 60, 57, 67]",0.32767697761206116
miniature_pinscher_21,10,"[64.64, 25.984, 102.144, 162.624]","[66, 47, 64, 56]",0.21575978513777555
