index,pred_class,true_bbox,cam_bboxes,mobilenet_iou
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[26, 55, 82, 73]",0.2447562364091842
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[87, 61, 117, 97]",0.5603123284665108
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[35, 39, 117, 113]",0.7058912127920736
english_setter_99,14,"[43.456, 38.792, 160.832, 146.94400000000002]","[51, 40, 141, 162]",0.7925774413245961
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[53, 71, 119, 94]",0.6788634727551587
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[41, 60, 109, 83]",0.3097518712636782
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[46, 98, 104, 87]",0.3187954115515183
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[47, 102, 138, 122]",0.9237998960982569
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[23, 43, 169, 125]",0.6570029721193488
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[27, 35, 146, 123]",0.601137588876633
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[42, 18, 120, 92]",0.3791712797340622
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[60, 44, 109, 106]",0.4119776634336821
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[65, 56, 119, 118]",0.6771525624392102
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[53, 116, 171, 108]",0.757227231479445
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[75, 82, 78, 67]",0.4460287763453162
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[33, 66, 191, 112]",0.47683037067197764
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[63, 38, 123, 101]",0.4898649493614008
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[64, 57, 109, 99]",0.6262022655069486
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[41, 18, 134, 117]",0.2314872813738843
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[38, 0, 133, 156]",0.6081933341562074
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[89, 43, 135, 106]",0.4414443743942844
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[96, 37, 99, 96]",0.5746876936123845
Bombay_90,7,"[16.128, 44.128, 207.872, 150.976]","[34, 60, 190, 134]",0.8112495892081891
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[75, 46, 98, 99]",0.353865227901803
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[94, 46, 130, 122]",0.5590109039771444
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[66, 50, 125, 90]",0.4758094283190967
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[34, 57, 168, 130]",0.6567861590466267
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[109, 82, 89, 70]",0.374660853377451
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[38, 49, 150, 138]",0.6142281032536748
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[36, 72, 98, 77]",0.5542143031814838
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[35, 37, 150, 135]",0.622452454419103
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[29, 69, 168, 93]",0.5443251409545357
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[70, 46, 133, 118]",0.6346332076613862
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[111, 59, 113, 96]",0.33620647783111657
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[61, 62, 123, 100]",0.6963355567409479
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[35, 34, 131, 123]",0.5038276240855661
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[41, 39, 130, 105]",0.42585143031571604
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[31, 56, 135, 130]",0.6420175488176353
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[26, 71, 140, 109]",0.7427957344483272
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[39, 79, 133, 106]",0.6084499733113164
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[65, 67, 111, 114]",0.6716670482686622
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[0, 47, 171, 154]",0.8009893617695812
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[0, 40, 169, 145]",0.6699219714174119
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[40, 38, 152, 165]",0.7579497307275148
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[41, 59, 142, 109]",0.6853763129185195
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[77, 43, 147, 116]",0.5436387772170221
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[19, 45, 154, 121]",0.588600560353331
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[76, 56, 102, 102]",0.44591961768255267
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[55, 35, 127, 120]",0.46202574788029593
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[59, 67, 126, 107]",0.5485492502596052
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[80, 48, 144, 136]",0.5790022850485196
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[40, 40, 139, 151]",0.6763005500464828
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[0, 39, 198, 164]",0.8077816482196485
havanese_21,29,"[64.06400000000001, 43.232, 159.04, 152.32]","[163, 102, 18, 48]",0.03566567472059247
British_Shorthair_21,26,"[85.624, 27.776, 98.11200000000001, 189.952]","[82, 59, 78, 65]",0.256168214194743
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[36, 44, 152, 123]",0.7063232512939568
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[81, 90, 143, 108]",0.5948086093372633
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[54, 39, 139, 94]",0.45495796428528645
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 74, 83, 73]",0.1775196821520738
staffordshire_bull_terrier_3,1,"[63.616, 76.424, 114.688, 77.952]","[43, 64, 138, 115]",0.5633370495274103
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[38, 59, 128, 106]",0.6428377547284203
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[45, 51, 138, 134]",0.7119778532316259
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[41, 45, 155, 143]",0.6417395953847338
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[31, 77, 115, 99]",0.616238557834673
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[48, 39, 129, 113]",0.7431982240515882
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[30, 42, 168, 135]",0.5329539788843897
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[55, 37, 121, 129]",0.5138842686456769
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[68, 36, 117, 116]",0.4262942221853281
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[97, 53, 97, 110]",0.5993881235422448
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[34, 37, 156, 127]",0.6637475247966319
Egyptian_Mau_77,5,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[27, 47, 108, 119]",0.5905486176579972
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 39, 130, 119]",0.32219326431765277
chihuahua_86,10,"[27.776, 32.272, 186.368, 162.624]","[56, 34, 131, 97]",0.4192634910915654
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[46, 48, 109, 119]",0.4136309707318546
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[56, 45, 128, 132]",0.6760561293286114
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[42, 53, 102, 110]",0.4851657250012175
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[33, 74, 155, 90]",0.6209453773286175
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[45, 35, 141, 128]",0.6855557650634232
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[33, 0, 133, 159]",0.5734314454705957
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[111, 62, 113, 105]",0.6318474218394525
Bombay_8,7,"[19.264, 74.024, 138.43200000000002, 51.968]","[49, 65, 144, 109]",0.3276265147461635
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[173, 98, 6, 38]",0.0
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[33, 69, 155, 134]",0.505147535350102
leonberger_47,12,"[51.52, 90.75999999999999, 93.632, 59.136]","[0, 0, 29, 29]",0.0
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[0, 43, 206, 141]",0.7650572771494761
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[123, 94, 81, 69]",0.8085745668764844
leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[59, 71, 108, 104]",0.5983952592592592
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[45, 37, 145, 123]",0.5991044394268089
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[48, 46, 155, 126]",0.7233465974738443
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[71, 48, 89, 113]",0.6015688361585747
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[56, 40, 107, 92]",0.575449499997219
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[32, 64, 155, 96]",0.6417418247414732
Siamese_6,32,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[46, 55, 126, 124]",0.661082215496878
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[94, 58, 130, 109]",0.5344770211111356
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[36, 54, 110, 76]",0.45663414876843095
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[40, 38, 157, 186]",0.7934541734418945
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[56, 70, 125, 97]",0.5923329860984105
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[62, 86, 107, 109]",0.8468822781836245
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[42, 63, 182, 118]",0.5699109052542932
basset_hound_193,14,"[7.168, 38.0, 155.904, 94.976]","[0, 59, 156, 97]",0.5816426266860486
beagle_30,4,"[80.904, 11.648, 69.44, 186.816]","[62, 38, 120, 123]",0.4450497383225591
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[0, 46, 171, 112]",0.5806505241746206
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[27, 0, 130, 121]",0.3363357557520403
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[36, 49, 158, 132]",0.6680438568870171
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[38, 68, 125, 111]",0.4073166602077215
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[60, 40, 129, 115]",0.47911543336252876
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[0, 43, 224, 138]",0.7884735934806456
Ragdoll_93,15,"[28.448, 109.76, 132.608, 114.24000000000001]","[41, 134, 89, 69]",0.4053696013878524
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[67, 38, 112, 107]",0.4346652800708823
Persian_27,26,"[10.896, 12.544, 198.912, 211.45600000000002]","[36, 92, 155, 112]",0.4127325532251379
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[29, 65, 158, 112]",0.5217138630600169
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[19, 74, 139, 117]",0.8359586198519813
Siamese_9,33,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[48, 53, 142, 81]",0.4503848096623252
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[109, 43, 115, 109]",0.5806253494909024
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[71, 50, 120, 89]",0.2719206269368733
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[60, 69, 127, 107]",0.5666217822838746
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[59, 61, 165, 117]",0.486530734609335
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[56, 31, 137, 147]",0.7496099343834826
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[97, 41, 109, 86]",0.4295431320875947
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[67, 69, 157, 112]",0.6009645694111714
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[47, 26, 89, 114]",0.39506725160287076
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[33, 41, 153, 143]",0.8126514895761601
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[41, 54, 158, 124]",0.6336954947697538
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[32, 60, 142, 98]",0.4667831152550654
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[48, 36, 131, 116]",0.578160083233279
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[64, 0, 121, 123]",0.46588752982577564
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[0, 68, 154, 114]",0.4940763080180531
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[67, 24, 140, 133]",0.4152051445578231
pug_40,1,"[96.136, 109.312, 89.152, 74.368]","[71, 97, 118, 78]",0.5869223150130974
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[79, 143, 2, 2]",0.00016986581894001815
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[55, 72, 100, 106]",0.3311803299573221
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[30, 0, 119, 190]",0.5934987145865498
yorkshire_terrier_6,36,"[60.928000000000004, 72.84, 97.664, 67.2]","[74, 68, 108, 68]",0.6238570921583283
chihuahua_77,31,"[43.72, 17.024, 140.672, 195.776]","[174, 80, 2, 1]",7.262110998110857e-05
Persian_60,20,"[70.784, 69.70400000000001, 111.104, 116.032]","[70, 66, 118, 103]",0.7872574831563027
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[58, 33, 125, 144]",0.5465538757777095
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[48, 40, 119, 112]",0.6753322266198198
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[34, 31, 165, 193]",0.8086172510957668
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[50, 79, 140, 116]",0.5015084475325057
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 40, 149, 87]",0.5578977270884304
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[40, 69, 146, 105]",0.532554791337971
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[40, 48, 129, 157]",0.6492772788317384
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[73, 47, 99, 102]",0.5571076355687979
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[78, 50, 112, 101]",0.35944902514577254
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[55, 75, 135, 88]",0.4742692291088831
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[74, 67, 116, 92]",0.46029511710327353
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[41, 58, 143, 125]",0.6947360947708059
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[28, 68, 109, 89]",0.7955826596601139
american_bulldog_81,8,"[51.072, 36.96, 172.928, 158.144]","[48, 45, 147, 94]",0.4895458189926934
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[69, 57, 127, 103]",0.6067114700567438
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[80, 44, 104, 87]",0.3464591817747961
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[64, 67, 160, 128]",0.8987543498154247
Bengal_79,11,"[11.648, 62.632, 191.744, 116.032]","[25, 83, 152, 105]",0.6143834686958911
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[72, 55, 117, 133]",0.6727822808404879
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[30, 66, 132, 105]",0.653893799923932
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[0, 34, 177, 110]",0.5884560639503863
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[92, 37, 103, 111]",0.345544593397404
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[60, 40, 127, 111]",0.5140918363012171
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[48, 47, 143, 130]",0.6765796247245551
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[35, 82, 125, 113]",0.594221699543148
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[0, 51, 187, 128]",0.797787618473174
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[79, 45, 106, 105]",0.5202781398530002
american_pit_bull_terrier_30,14,"[53.088, 48.384, 94.976, 143.808]","[52, 39, 126, 114]",0.5493666228037192
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[33, 45, 191, 140]",0.8911137753771362
staffordshire_bull_terrier_27,8,"[21.928, 18.368000000000002, 174.272, 203.84]","[49, 22, 146, 82]",0.33701535008195205
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[61, 41, 109, 89]",0.4530179007019369
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[39, 43, 147, 123]",0.602143481973371
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[70, 56, 124, 130]",0.5523504790816677
wheaten_terrier_34,30,"[45.248, 47.304, 86.016, 133.952]","[81, 44, 82, 80]",0.2709676357418834
staffordshire_bull_terrier_81,34,"[17.472, 28.896, 206.528, 167.104]","[46, 62, 157, 99]",0.45036959368168594
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[47, 0, 133, 149]",0.6584397110367809
chihuahua_192,10,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[33, 33, 149, 136]",0.7004622354000487
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[54, 33, 135, 146]",0.4190567217113556
miniature_pinscher_21,21,"[64.64, 25.984, 102.144, 162.624]","[37, 21, 132, 148]",0.6782271750867628
wheaten_terrier_73,20,"[27.328, 37.0, 134.4, 95.424]","[37, 39, 132, 85]",0.7886481230944137
