index,pred_class,true_bbox,cam_bboxes,resnet_iou
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[35, 0, 145, 144]",0.6641141103040074
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[45, 0, 142, 159]",0.3284414440702795
Russian_Blue_47,9,"[67.648, 43.72, 93.184, 141.568]","[37, 31, 166, 166]",0.4787295874582668
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[49, 109, 175, 115]",0.8248807326275504
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[51, 55, 138, 122]",0.15807406985032074
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[71, 51, 153, 131]",0.33949061557167715
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[47, 0, 145, 167]",0.394216628740383
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[42, 33, 145, 137]",0.6434955398863172
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[19, 0, 168, 167]",0.2721061501258766
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[34, 23, 153, 139]",0.6409666983542398
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[94, 23, 130, 138]",0.45592093595042893
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[75, 27, 149, 138]",0.4589402514614186
Bombay_90,7,"[16.128, 44.128, 207.872, 150.976]","[0, 48, 224, 154]",0.8662334297435746
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[50, 23, 135, 148]",0.5793012013807904
english_cocker_spaniel_96,13,"[123.2, 58.32, 100.352, 147.84]","[80, 53, 144, 171]",0.6025032358674466
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[64, 24, 160, 136]",0.4285628073817118
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[36, 36, 188, 188]",0.6945210577316994
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[89, 55, 135, 123]",0.335858220464781
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[27, 32, 180, 171]",0.6580617031678421
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[0, 41, 156, 124]",0.3932735947063688
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[26, 26, 156, 146]",0.6331216927957962
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[39, 56, 165, 133]",0.556888505587783
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[43, 37, 181, 150]",0.7964410105496683
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[98, 49, 126, 127]",0.4958656495411125
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[49, 41, 150, 135]",0.6008714229563747
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[17, 26, 165, 149]",0.5711550106441047
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[22, 19, 179, 170]",0.8054558219936285
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[0, 32, 176, 175]",0.6039557095424491
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[20, 42, 156, 141]",0.6548409907153105
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[34, 65, 159, 137]",0.6465512705063283
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[55, 39, 147, 185]",0.6050419315315317
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[0, 65, 178, 135]",0.6917749863310462
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[0, 29, 188, 195]",0.5117787757774142
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[19, 41, 170, 161]",0.7432200071760041
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[32, 36, 167, 159]",0.6862739294873051
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[64, 36, 160, 151]",0.7074722758802737
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[19, 37, 169, 158]",0.6654462236992117
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[58, 44, 147, 148]",0.5210615998055145
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[44, 0, 140, 154]",0.3367759019505585
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[44, 43, 141, 132]",0.3973533737373736
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[86, 27, 138, 161]",0.5241470267034879
Egyptian_Mau_42,11,"[37.857142857142854, 4.0, 134.28571428571428, 212.0]","[31, 17, 155, 207]",0.7898992884741253
leonberger_77,19,"[5.824, 32.168, 218.17600000000002, 167.104]","[0, 24, 224, 200]",0.8137964799999999
havanese_21,16,"[64.06400000000001, 43.232, 159.04, 152.32]","[34, 45, 168, 143]",0.6915145736566123
British_Shorthair_21,9,"[85.624, 27.776, 98.11200000000001, 189.952]","[37, 0, 158, 158]",0.4144991950218983
basset_hound_200,4,"[48.384, 49.544, 154.112, 135.744]","[21, 35, 180, 151]",0.7565515486827489
Egyptian_Mau_39,11,"[88.87741935483871, 36.4, 125.00645161290322, 158.96774193548387]","[72, 56, 152, 168]",0.6225179793559316
havanese_86,16,"[0.448, 37.448, 193.088, 148.736]","[54, 28, 170, 144]",0.5453953726893566
Persian_261,23,"[4.48, 32.68, 219.52, 145.60000000000002]","[0, 43, 131, 131]",0.5092053234705393
staffordshire_bull_terrier_3,34,"[63.616, 76.424, 114.688, 77.952]","[36, 35, 170, 165]",0.31872224513368985
Russian_Blue_93,27,"[56.896, 63.432, 136.64000000000001, 95.424]","[26, 35, 146, 142]",0.482014279458462
Russian_Blue_86,27,"[61.824, 41.480000000000004, 142.912, 143.808]","[33, 32, 168, 169]",0.6918468561217335
shiba_inu_31,31,"[37.632, 22.400000000000002, 142.464, 201.6]","[0, 39, 224, 143]",0.5045110212703638
great_pyrenees_64,15,"[27.776, 80.00800000000001, 83.776, 106.176]","[0, 54, 155, 138]",0.4158485542776999
wheaten_terrier_196,35,"[53.76, 55.472, 122.75200000000001, 88.256]","[43, 25, 143, 137]",0.5529886433566434
Persian_99,23,"[11.064, 9.408, 203.84, 208.768]","[21, 24, 203, 175]",0.768639927324806
miniature_pinscher_35,21,"[42.376, 0.0, 144.256, 210.56]","[36, 0, 145, 158]",0.6979359488752965
japanese_chin_70,17,"[12.096, 32.928, 153.66400000000002, 158.592]","[37, 33, 169, 147]",0.6249833027138758
Abyssinian_43,0,"[89.864, 58.688, 77.504, 96.768]","[89, 35, 135, 126]",0.4409116444444444
american_bulldog_37,1,"[26.88, 36.344, 197.12, 151.424]","[0, 21, 224, 148]",0.7095807917340968
Egyptian_Mau_77,11,"[9.27810650887574, 19.28994082840237, 131.88165680473375, 165.01775147928996]","[0, 22, 182, 202]",0.576632435287942
pomeranian_1,24,"[1.448, 4.48, 218.17600000000002, 216.832]","[0, 31, 155, 142]",0.4589125740158139
chihuahua_86,1,"[27.776, 32.272, 186.368, 162.624]","[48, 17, 154, 133]",0.555120157334844
boxer_83,8,"[67.648, 41.928, 156.352, 144.256]","[37, 33, 148, 140]",0.5514457785369558
newfoundland_39,22,"[67.2, 38.304, 137.984, 154.56]","[48, 17, 135, 153]",0.5705047606197674
english_cocker_spaniel_75,12,"[38.752, 31.808, 123.2, 187.71200000000002]","[0, 51, 178, 137]",0.5509745757798699
Egyptian_Mau_86,11,"[6.516363636363637, 58.32727272727273, 182.0509090909091, 123.40363636363637]","[24, 50, 200, 143]",0.6602672723213266
wheaten_terrier_97,35,"[25.088, 33.584, 146.496, 148.736]","[27, 19, 168, 163]",0.774268441321898
Russian_Blue_90,27,"[42.2, 16.128, 146.94400000000002, 186.368]","[0, 0, 182, 193]",0.6544061357363696
samoyed_86,29,"[77.952, 58.056, 146.048, 128.576]","[91, 37, 133, 149]",0.7885803899351702
Bombay_8,14,"[19.264, 74.024, 138.43200000000002, 51.968]","[57, 42, 126, 123]",0.2997279575653012
chihuahua_28,10,"[52.864000000000004, 51.784, 97.664, 99.904]","[49, 19, 148, 136]",0.4847488203497616
Egyptian_Mau_40,11,"[0.0, 37.0, 223.552, 149.184]","[0, 66, 192, 158]",0.5682031361575535
leonberger_47,12,"[51.52, 90.75999999999999, 93.632, 59.136]","[44, 59, 141, 128]",0.30679421276595736
keeshond_3,18,"[27.328, 38.448, 196.672, 147.84]","[0, 37, 224, 163]",0.7963406134969325
Ragdoll_71,26,"[117.376, 96.136, 86.016, 59.584]","[81, 64, 143, 135]",0.2654844519036519
leonberger_70,19,"[80.64, 75.00800000000001, 72.128, 93.184]","[40, 50, 149, 143]",0.315444480780964
Sphynx_51,33,"[54.912, 16.128, 102.144, 137.984]","[24, 18, 200, 161]",0.4292220820566942
boxer_95,8,"[45.696, 44.576, 178.304, 151.424]","[48, 46, 176, 144]",0.9386838794867952
samoyed_196,29,"[72.352, 56.448, 102.592, 139.776]","[45, 17, 142, 147]",0.45632792338605455
english_cocker_spaniel_196,12,"[64.96000000000001, 39.647999999999996, 75.712, 121.85600000000001]","[36, 20, 150, 153]",0.40200267851851873
Bombay_40,7,"[22.848, 66.08, 201.15200000000002, 76.16]","[0, 45, 165, 130]",0.4173038085928467
Siamese_6,10,"[39.443636363636365, 47.24363636363636, 145.80363636363637, 162.09454545454545]","[22, 32, 171, 141]",0.6234685325983553
Siamese_58,32,"[45.248, 46.136, 157.696, 126.336]","[84, 25, 140, 137]",0.5442571311699322
Ragdoll_37,26,"[0.448, 58.056, 133.952, 106.176]","[0, 36, 173, 150]",0.5480727380346821
keeshond_23,18,"[28.896, 6.272, 167.104, 217.728]","[0, 0, 224, 224]",0.7251119999999999
pug_62,25,"[60.480000000000004, 63.84, 146.048, 132.16]","[32, 49, 192, 150]",0.6701980444444444
Maine_Coon_254,5,"[64.96000000000001, 82.50666666666666, 93.33333333333334, 112.74666666666667]","[33, 66, 157, 158]",0.4242127800621714
Persian_255,23,"[0.0, 28.12, 222.88000000000002, 167.44000000000003]","[24, 59, 200, 165]",0.6292648032710604
basset_hound_193,14,"[7.168, 38.0, 155.904, 94.976]","[0, 43, 181, 133]",0.5644344438310481
beagle_30,10,"[80.904, 11.648, 69.44, 186.816]","[36, 0, 132, 148]",0.41094585096186864
japanese_chin_26,17,"[0.0, 37.0, 221.76, 148.736]","[0, 40, 171, 149]",0.7429782169226871
great_pyrenees_52,15,"[17.96, 12.096, 195.776, 206.976]","[26, 0, 146, 153]",0.48648541225051456
Birman_4,6,"[31.584, 30.464000000000002, 163.968, 190.4]","[24, 29, 200, 160]",0.6983225482524135
Bombay_21,7,"[0.9955555555555555, 16.924444444444443, 157.29777777777778, 205.08444444444444]","[19, 60, 167, 134]",0.5188840188237207
pomeranian_193,24,"[20.906666666666666, 48.906666666666666, 147.09333333333333, 139.62666666666667]","[56, 31, 168, 136]",0.43854726658511123
staffordshire_bull_terrier_46,34,"[0.0, 37.448, 188.16, 148.736]","[20, 27, 204, 166]",0.6789444844989184
Ragdoll_93,26,"[28.448, 109.76, 132.608, 114.24000000000001]","[31, 110, 141, 114]",0.9042267800284218
german_shorthaired_82,14,"[76.648, 8.512, 73.024, 189.056]","[47, 22, 153, 137]",0.4040122651193941
Persian_27,26,"[10.896, 12.544, 198.912, 211.45600000000002]","[0, 62, 224, 162]",0.6986118207824075
Ragdoll_73,26,"[0.0, 44.128, 224.0, 151.424]","[16, 40, 178, 184]",0.6786295533576333
Egyptian_Mau_212,11,"[21.653333333333336, 56.093333333333334, 137.38666666666668, 136.64000000000001]","[0, 50, 177, 154]",0.6886974148262286
Siamese_9,33,"[52.70175438596491, 46.03508771929825, 143.1578947368421, 169.82456140350877]","[19, 27, 180, 126]",0.48337831771996204
pomeranian_33,24,"[94.976, 36.296, 108.864, 143.36]","[94, 29, 130, 141]",0.7510143426283297
saint_bernard_66,28,"[0.0, 22.608, 215.936, 181.888]","[55, 29, 152, 146]",0.5650245836126491
chihuahua_37,10,"[63.879999999999995, 51.52, 109.76, 172.032]","[33, 51, 191, 149]",0.5249687332209486
japanese_chin_99,17,"[0.448, 28.0, 212.352, 168.0]","[50, 57, 174, 146]",0.5885367403472401
Sphynx_245,33,"[50.53125, 28.21875, 173.46875, 154.875]","[37, 27, 187, 160]",0.8979268935912433
american_bulldog_7,1,"[116.744, 46.592, 69.44, 132.608]","[76, 28, 148, 127]",0.3676346366322909
Maine_Coon_245,20,"[21.653333333333336, 50.86666666666667, 197.86666666666667, 141.12]","[53, 57, 171, 167]",0.6610788587696182
miniature_pinscher_27,21,"[49.984, 23.744, 126.784, 193.088]","[31, 0, 156, 197]",0.6607061735357841
saint_bernard_86,28,"[40.768, 45.064, 164.416, 140.672]","[25, 23, 150, 143]",0.5727055931325403
Birman_198,6,"[0.37333333333333335, 38.49333333333333, 210.18666666666667, 147.09333333333333]","[42, 34, 182, 156]",0.7183557457089298
saint_bernard_28,28,"[54.656, 51.336, 169.344, 134.848]","[35, 53, 147, 128]",0.6429569914362878
pug_55,25,"[67.2, 39.24, 130.368, 147.392]","[30, 24, 173, 142]",0.6063104525886931
saint_bernard_9,28,"[68.32, 11.200000000000001, 123.2, 212.352]","[64, 0, 132, 166]",0.6575785380346922
newfoundland_94,22,"[26.88, 54.872, 178.752, 146.94400000000002]","[0, 40, 157, 165]",0.5785074217703419
great_pyrenees_79,15,"[4.48, 10.719999999999999, 219.52, 204.288]","[54, 0, 150, 148]",0.4432838833800906
pug_40,1,"[96.136, 109.312, 89.152, 74.368]","[66, 81, 158, 126]",0.33303475668073146
english_setter_98,13,"[37.0, 21.056, 116.032, 202.94400000000002]","[16, 0, 167, 188]",0.5445355589518744
beagle_6,4,"[92.288, 103.504, 109.312, 74.816]","[47, 74, 157, 150]",0.3472733160084925
Abyssinian_7,0,"[39.84210526315789, 21.89473684210526, 90.10526315789473, 200.42105263157893]","[0, 0, 138, 202]",0.5462912021818584
yorkshire_terrier_6,13,"[60.928000000000004, 72.84, 97.664, 67.2]","[71, 38, 153, 131]",0.284084377800939
chihuahua_77,10,"[43.72, 17.024, 140.672, 195.776]","[27, 0, 156, 144]",0.5472083273080615
Persian_60,23,"[70.784, 69.70400000000001, 111.104, 116.032]","[44, 52, 152, 150]",0.565421900350877
chihuahua_85,34,"[45.96, 16.576, 106.624, 192.64000000000001]","[38, 0, 157, 168]",0.524702957329122
beagle_72,4,"[55.552, 51.336, 116.032, 124.992]","[32, 18, 148, 126]",0.48001918158567786
leonberger_35,19,"[16.344, 14.784, 177.40800000000002, 209.216]","[0, 0, 224, 224]",0.739728
Egyptian_Mau_20,11,"[64.8962962962963, 13.896296296296295, 117.39259259259259, 208.96296296296296]","[44, 79, 160, 145]",0.5475530833508471
great_pyrenees_95,15,"[19.264, 51.400000000000006, 133.056, 108.416]","[0, 0, 138, 142]",0.46241057678129766
Maine_Coon_39,20,"[30.464000000000002, 37.0, 193.536, 148.736]","[24, 29, 175, 195]",0.662397419259369
american_bulldog_49,1,"[35.616, 21.056, 154.112, 167.552]","[29, 67, 152, 157]",0.5523934161908544
english_cocker_spaniel_49,12,"[76.608, 54.472, 118.72, 127.232]","[43, 32, 153, 136]",0.600761349611486
pug_71,25,"[4.48, 42.376, 219.52, 143.36]","[44, 35, 180, 144]",0.749810037586605
english_cocker_spaniel_39,12,"[29.792, 33.152, 163.968, 152.768]","[26, 52, 198, 138]",0.7219785641560629
Persian_72,23,"[67.648, 37.896, 156.352, 148.288]","[40, 32, 167, 152]",0.7217452173011277
boxer_70,8,"[0.0, 60.296, 173.824, 125.888]","[23, 27, 161, 174]",0.6142764650677411
Ragdoll_85,26,"[25.536, 59.400000000000006, 122.75200000000001, 95.872]","[0, 43, 144, 126]",0.6120894598706171
american_bulldog_81,8,"[51.072, 36.96, 172.928, 158.144]","[45, 32, 179, 150]",0.8614313549334423
Siamese_26,32,"[91.84, 60.848, 132.16, 107.968]","[58, 41, 166, 141]",0.6096321832008887
Persian_63,23,"[0.0, 44.168, 182.336, 139.776]","[52, 21, 172, 152]",0.4819761887350313
english_setter_28,13,"[59.136, 68.016, 164.864, 118.272]","[41, 62, 151, 162]",0.5563159159383694
Bengal_79,5,"[11.648, 62.632, 191.744, 116.032]","[56, 71, 144, 153]",0.538753550546116
Russian_Blue_215,27,"[87.36, 50.333333333333336, 113.49333333333334, 159.04000000000002]","[73, 54, 151, 145]",0.7006224700043735
great_pyrenees_46,15,"[21.952, 38.896, 134.848, 146.94400000000002]","[16, 46, 171, 148]",0.7179308954310931
wheaten_terrier_194,35,"[9.408, 38.448, 141.568, 147.392]","[24, 0, 167, 179]",0.5422517567634725
Siamese_96,32,"[14.336, 35.96, 157.248, 146.048]","[65, 0, 159, 149]",0.3481299441067169
great_pyrenees_88,15,"[68.912, 11.200000000000001, 98.11200000000001, 183.232]","[36, 0, 156, 161]",0.5175776868233282
Birman_36,26,"[67.648, 29.344, 127.232, 166.208]","[38, 18, 186, 161]",0.5940679340379372
boxer_62,8,"[58.472, 93.184, 104.384, 130.368]","[24, 67, 139, 131]",0.5240945612170703
Bengal_31,5,"[0.448, 42.824, 163.968, 142.464]","[0, 52, 203, 172]",0.6000720626605647
samoyed_67,29,"[99.456, 45.024, 67.2, 141.12]","[60, 22, 164, 149]",0.33258798980271487
american_pit_bull_terrier_30,34,"[53.088, 48.384, 94.976, 143.808]","[48, 0, 135, 143]",0.3747852924365814
beagle_35,4,"[17.024, 41.032, 206.976, 142.912]","[24, 41, 181, 166]",0.7662437298847351
staffordshire_bull_terrier_27,8,"[21.928, 18.368000000000002, 174.272, 203.84]","[29, 0, 195, 136]",0.4641374044482604
scottish_terrier_32,30,"[66.08, 20.608, 129.92000000000002, 153.66400000000002]","[38, 0, 142, 149]",0.55203169534547
Persian_45,23,"[3.136, 38.0, 202.496, 148.288]","[22, 26, 181, 163]",0.82103506652776
Sphynx_47,33,"[29.344, 47.936, 165.76, 176.064]","[59, 42, 165, 145]",0.5537140838632755
wheaten_terrier_34,30,"[45.248, 47.304, 86.016, 133.952]","[34, 24, 143, 127]",0.429576665531372
staffordshire_bull_terrier_81,8,"[17.472, 28.896, 206.528, 167.104]","[0, 0, 224, 206]",0.7479120776699029
staffordshire_bull_terrier_24,34,"[57.544, 2.688, 118.72, 201.6]","[30, 0, 167, 162]",0.5896759455441833
chihuahua_192,10,"[19.413333333333334, 35.46666666666667, 175.46666666666667, 159.78666666666666]","[25, 0, 162, 167]",0.6307463767002457
wheaten_terrier_20,35,"[83.144, 50.624, 67.648, 143.36]","[43, 56, 165, 142]",0.392303474674986
miniature_pinscher_21,21,"[64.64, 25.984, 102.144, 162.624]","[0, 0, 184, 191]",0.4726572346915547
wheaten_terrier_73,35,"[27.328, 37.0, 134.4, 95.424]","[69, 26, 155, 131]",0.36441214169340447
